iso3,year,healthcare_expenditure
GRC,2009,9.40688515
GRD,2009,5.43471003
GTM,2009,6.33938646
GUY,2009,4.35117149
HND,2009,8.99592495
HRV,2009,8.08
HTI,2009,3.50277376
HUN,2009,7.22
IDN,2009,2.62324095
IND,2009,3.49
IRL,2009,10.52275658
IRN,2009,6.11493444
IRQ,2009,3.77203989
ISL,2009,8.78
ISR,2009,6.92
ITA,2009,8.95
JAM,2009,5.14654493
JOR,2009,9.22396946
JPN,2009,8.96
KAZ,2009,3.5
KEN,2009,5.26973343
KGZ,2009,6.9
KHM,2009,7.58330584
KIR,2009,13.49
KNA,2009,5.28673744
KOR,2009,5.65905666
KWT,2009,2.70638776
LAO,2009,3.46300411
LBN,2009,7.0073576
LBR,2009,11.57163811
LBY,2009,3.5828805
LCA,2009,5.24410772
LKA,2009,4.06
LSO,2009,8.95305061
LTU,2009,7.37
LUX,2009,6.95
LVA,2009,6.1
MAR,2009,5.27312183
MCO,2009,4.84195948
MDA,2009,13.68
MDG,2009,4.38469839
MDV,2009,10.09
MEX,2009,6.12978411
MHL,2009,14.53969955
MKD,2009,6.53
MLI,2009,5.2122364
MLT,2009,7.92
MMR,2009,2.16
MNG,2009,4.45980072
MOZ,2009,5.20390034
MRT,2009,3.11034036
MUS,2009,4.17035627
MWI,2009,5.87333822
MYS,2009,3.2610569
NAM,2009,9.04967022
NER,2009,5.33850145
NGA,2009,3.5801971
NIC,2009,7.68584394
NLD,2009,9.99
NOR,2009,9.03
NPL,2009,3.9
NRU,2009,12.31575871
NZL,2009,9.62076378
OMN,2009,2.4694581
PAK,2009,2.47458911
PAN,2009,7.24006367
PER,2009,4.96515894
PHL,2009,4.16
PLW,2009,10.30605984
PNG,2009,2.32937527
POL,2009,6.59
PRT,2009,10.13
PRY,2009,5.52496862
QAT,2009,2.38356304
ROU,2009,5.28
RUS,2009,5.64
RWA,2009,7.80694866
SAU,2009,4.29042768
SDN,2009,6.39496326
SEN,2009,3.841573
SGP,2009,3.39853096
SLB,2009,6.60598898
SLE,2009,9.68422222
SLV,2009,8.83749676
SMR,2009,6.18409586
SRB,2009,9.34623528
STP,2009,7.24220848
SUR,2009,4.97810316
SVK,2009,7.95
SVN,2009,8.54
SWE,2009,8.77
SWZ,2009,8.63292217
SYC,2009,3.54135323
SYR,2009,3.5464704
TCD,2009,4.44166946
TGO,2009,4.07616663
THA,2009,3.61939645
TJK,2009,5.86
TKM,2009,2.84764099
TLS,2009,7.30931807
TON,2009,3.92779636
TTO,2009,5.48676443
TUN,2009,5.40595293
TUR,2009,5.49
TUV,2009,12.26670933
TZA,2009,5.06306362
UGA,2009,5.78845549
UKR,2009,6.61
URY,2009,7.9498806
USA,2009,16.20063591
UZB,2009,4.8
VCT,2009,4.09299564
VNM,2009,4.48502922
VUT,2009,3.25197887
WSM,2009,5.12732029
YEM,2009,5.98619986
ZAF,2009,7.64941454
ZMB,2009,5.15718842
AFG,2010,8.56967163
AGO,2010,2.69509959
ALB,2010,6.23667669
AND,2010,7.67537737
ARE,2010,3.87873054
ARG,2010,9.44546413
ARM,2010,9.24
ATG,2010,5.37907028
AUS,2010,8.42025661
AUT,2010,10.22
AZE,2010,2.65
BDI,2010,11.28196716
BEL,2010,10.20229435
BEN,2010,3.00988984
BFA,2010,5.23958349
BGD,2010,2.28807664
BGR,2010,7.1
BHR,2010,4.08934975
BHS,2010,5.25594234
BIH,2010,9.02
BLR,2010,5.66
BLZ,2010,4.49519491
BOL,2010,5.20230532
BRA,2010,7.94516611
BRB,2010,6.77094746
BRN,2010,2.27826095
BTN,2010,3.55879498
BWA,2010,6.26718187
CAF,2010,3.56699872
CAN,2010,10.67611408
CHE,2010,9.93353558
CHL,2010,6.81958437
CHN,2010,4.23068333
CIV,2010,4.41577387
CMR,2010,3.57742167
COD,2010,3.72224283
COG,2010,1.85172856
COL,2010,7.07130146
COM,2010,4.99181557
CPV,2010,4.47555733
CRI,2010,8.02937794
CUB,2010,10.6880827
CYP,2010,6.5
CZE,2010,7.58647251
DEU,2010,11.09592915
DJI,2010,3.35966682
DMA,2010,5.15711927
DNK,2010,10.61
DOM,2010,4.92355442
DZA,2010,5.11716986
ECU,2010,6.22109413
EGY,2010,4.15319157
ERI,2010,4.83844233
ESP,2010,9.11891174
EST,2010,6.59433842
ETH,2010,5.46637249
FIN,2010,9.14
FJI,2010,3.41664124
FRA,2010,11.22560215
FSM,2010,13.10624504
GAB,2010,2.47556901
GBR,2010,9.92673969
GEO,2010,9.07
GHA,2010,4.22398996
GIN,2010,3.42782617
GMB,2010,4.11944056
GNB,2010,5.26704073
GNQ,2010,1.62134683
GRC,2010,9.59662342
GRD,2010,5.4188118
GTM,2010,6.1247797
GUY,2010,4.21897697
HND,2010,8.72536373
HRV,2010,7.99
HTI,2010,4.54871035
HUN,2010,7.45
IDN,2010,2.7908783
IND,2010,3.27
IRL,2010,10.52404499
IRN,2010,6.29153061
IRQ,2010,3.23955345
ISL,2010,8.36
ISR,2010,6.89
ITA,2010,8.92
JAM,2010,5.2951932
JOR,2010,8.17025661
JPN,2010,9.06
KAZ,2010,2.74
KEN,2010,5.38849831
KGZ,2010,6.95
KHM,2010,6.91169977
KIR,2010,9.34
KNA,2010,5.2136941
KOR,2010,5.81980991
KWT,2010,2.67879915
LAO,2010,2.91155219
LBN,2010,7.43864489
LBR,2010,10.35444641
LBY,2010,3.28064442
LCA,2010,5.05308437
LKA,2010,3.74
LSO,2010,7.64088917
LTU,2010,6.81
LUX,2010,6.66
LVA,2010,6.1
MAR,2010,5.41861057
MCO,2010,4.95791674
MDA,2010,10.13
MDG,2010,4.69762659
MDV,2010,8.49
MEX,2010,5.73688889
MHL,2010,13.93147564
MKD,2010,6.71
MLI,2010,4.67865133
MLT,2010,7.95
MMR,2010,1.96
MNG,2010,3.73945689
MOZ,2010,5.43892908
MRT,2010,2.63618922
MUS,2010,4.51898289
MWI,2010,5.14304781
MYS,2010,3.16474271
NAM,2010,9.72781372
NER,2010,4.96100473
NGA,2010,3.29653287
NIC,2010,7.71019173
NLD,2010,10.16
NOR,2010,8.86
NPL,2010,4.36
NRU,2010,12.6964016
NZL,2010,9.59277534
OMN,2010,2.47588587
PAK,2010,2.39686537
PAN,2010,7.4865942
PER,2010,4.71503925
PHL,2010,4.13
PLW,2010,11.61802578
PNG,2010,2.10756016
POL,2010,6.47
PRT,2010,10.03
PRY,2010,5.46593952
QAT,2010,1.87017763
ROU,2010,5.64
RUS,2010,4.97
RWA,2010,8.08696938
SAU,2010,3.64786315
SDN,2010,5.05810165
SEN,2010,4.02764368
SGP,2010,3.20265388
SLB,2010,4.66139841
SLE,2010,9.12688351
SLV,2010,8.90416241
SMR,2010,6.20853519
SRB,2010,9.5273037
STP,2010,6.86072636
SUR,2010,4.6978569
SVK,2010,7.67
SVN,2010,8.57
SWE,2010,8.32
SWZ,2010,8.5912571
SYC,2010,4.50142097
SYR,2010,3.2764473
TCD,2010,4.06023312
TGO,2010,4.45493317
THA,2010,3.39009809
TJK,2010,5.74
TKM,2010,3.24345636
TLS,2010,6.47058821
TON,2010,4.81632328
TTO,2010,5.08042908
TUN,2010,5.60950756
TUR,2010,5.02
TUV,2010,15.65082836
TZA,2010,5.22392178
UGA,2010,6.80890226
UKR,2010,6.81
URY,2010,7.91117048
USA,2010,16.19719124
UZB,2010,5.3
VCT,2010,4.30325222
VNM,2010,5.07146072
VUT,2010,3.52656102
WSM,2010,5.15268326
YEM,2010,5.15932894
ZAF,2010,7.79358244
ZMB,2010,3.97471905
ZWE,2010,10.47583866
AFG,2011,8.56190777
AGO,2011,2.64560771
ALB,2011,6.18297672
AND,2011,7.62060833
ARE,2011,3.67006993
ARG,2011,9.41819859
ARM,2011,9.38
ATG,2011,5.44257212
AUS,2011,8.53744984
AUT,2011,10.03
AZE,2011,2.6
BDI,2011,10.06996346
BEL,2011,10.36337948
BEN,2011,2.99707985
BFA,2011,4.64868164
BGD,2011,2.36418128
BGR,2011,7.1
BHR,2011,3.8651762
BHS,2011,5.32398558
BIH,2011,9.18
BLR,2011,4.87
BLZ,2011,4.54942894
BOL,2011,5.17306805
BRA,2011,7.78819132
BRB,2011,6.89690495
BRN,2011,1.86409724
BTN,2011,3.34921789
BWA,2011,5.86915016
CAF,2011,3.67561865
CAN,2011,10.37950897
CHE,2011,10.04628563
CHL,2011,6.79947519
CHN,2011,4.34274387
CIV,2011,4.39700699
CMR,2011,3.85282946
COD,2011,3.19435549
COG,2011,1.75237322
COL,2011,6.78076792
COM,2011,5.3021183
CPV,2011,4.30527449
CRI,2011,8.12197781
CUB,2011,11.31298637
CYP,2011,6.43
CZE,2011,7.5580225
DEU,2011,10.77844906
DJI,2011,3.37655354
DMA,2011,5.33450365
DNK,2011,10.41
DOM,2011,5.03797865
DZA,2011,5.26748085
ECU,2011,6.580935
EGY,2011,4.35707569
ERI,2011,5.16795397
ESP,2011,9.1679697
EST,2011,6.0781703
ETH,2011,4.46897745
FIN,2011,9.22
FJI,2011,3.14293504
FRA,2011,11.18497562
FSM,2011,13.09527397
GAB,2011,2.55771565
GBR,2011,9.92486763
GEO,2011,8.01
GHA,2011,4.69264126
GIN,2011,3.78955102
GMB,2011,4.36967373
GNB,2011,6.21634817
GNQ,2011,1.42923808
GRC,2011,9.19330311
GRD,2011,5.80423355
GTM,2011,5.96306896
GUY,2011,4.17213488
HND,2011,8.79187012
HRV,2011,7.66
HTI,2011,5.91197777
HUN,2011,7.48
IDN,2011,2.98942471
IND,2011,3.25
IRL,2011,10.60614967
IRN,2011,6.09787989
IRQ,2011,2.80316377
ISL,2011,8.2
ISR,2011,6.84
ITA,2011,8.77
JAM,2011,5.23845339
JOR,2011,8.14807701
JPN,2011,10.49
KAZ,2011,2.6
KEN,2011,5.20212841
KGZ,2011,7.11
KHM,2011,7.50353098
KIR,2011,8.67
KNA,2011,5.1628871
KOR,2011,5.91454506
KWT,2011,2.33303547
LAO,2011,1.94457507
LBN,2011,8.17744446
LBR,2011,9.71052551
LBY,2011,4.01902008
LCA,2011,5.07998085
LKA,2011,3.58
LSO,2011,9.07558823
LTU,2011,6.49
LUX,2011,5.95
LVA,2011,5.72
MAR,2011,5.37019396
MCO,2011,4.63501215
MDA,2011,9.1
MDG,2011,4.521595
MDV,2011,7.92
MEX,2011,5.51883602
MHL,2011,13.08627224
MKD,2011,6.52
MLI,2011,4.01483774
MLT,2011,8.45
MMR,2011,1.93
MNE,2011,7.97
MNG,2011,3.58612084
MOZ,2011,5.00311899
MRT,2011,2.47383666
MUS,2011,4.25059652
MWI,2011,5.32226658
MYS,2011,3.31451917
NAM,2011,9.83193302
NER,2011,4.87323856
NGA,2011,3.32077932
NIC,2011,7.44982004
NLD,2011,10.23
NOR,2011,8.73
NPL,2011,4.45
NRU,2011,9.96043968
NZL,2011,9.51987362
OMN,2011,2.23611403
PAK,2011,2.14016914
PAN,2011,7.08092785
PER,2011,4.53500509
PHL,2011,4.03
PLW,2011,10.86477661
PNG,2011,2.29397798
POL,2011,6.29
PRT,2011,9.73
PRY,2011,5.82225847
QAT,2011,1.599962
ROU,2011,4.48
RUS,2011,4.79
RWA,2011,7.93879843
SAU,2011,3.68218255
SDN,2011,5.61579561
SEN,2011,4.21416712
SGP,2011,3.15792179
SLB,2011,5.02313328
SLE,2011,10.76753807
SLV,2011,8.87645435
SMR,2011,8.0707283
SRB,2011,9.11380386
STP,2011,6.76036882
