iso3,year,urbanisation_rate
AND,2014,88.441
ARE,2014,85.375
ARG,2014,91.377
ARM,2014,63.112
ASM,2014,87.288
ATG,2014,25.175
AUS,2014,85.602
AUT,2014,57.526
AZE,2014,54.422
BDI,2014,11.776
BEL,2014,97.833
BEN,2014,45.166
BFA,2014,26.934
BGD,2014,33.535
BGR,2014,73.651
BHR,2014,88.915
BHS,2014,82.668
BIH,2014,46.84
BLR,2014,76.693
BLZ,2014,45.335
BMU,2014,100.0
BOL,2014,68.047
BRA,2014,85.492
BRB,2014,31.328
BRN,2014,76.332
BTN,2014,37.918
BWA,2014,66.368
CAF,2014,39.959
CAN,2014,81.218
CHE,2014,73.696
CHL,2014,87.303
CHN,2014,54.259
CIV,2014,49.014
CMR,2014,53.976
COD,2014,42.18
COG,2014,65.085
COL,2014,79.415
COM,2014,28.338
CPV,2014,63.81
CRI,2014,75.941
CUB,2014,76.861
CYM,2014,100.0
CYP,2014,67.031
CZE,2014,73.384
DEU,2014,77.19
DJI,2014,77.314
DMA,2014,69.28
DNK,2014,87.41
DOM,2014,77.67
DZA,2014,70.221
ECU,2014,63.261
EGY,2014,42.839
ERI,2014,37.59
ESP,2014,79.366
EST,2014,68.269
ETH,2014,18.998
FIN,2014,85.175
FJI,2014,54.216
FRA,2014,79.394
FRO,2014,41.501
FSM,2014,22.399
GAB,2014,87.651
GBR,2014,82.365
GEO,2014,57.067
GHA,2014,53.419
GIB,2014,100.0
GIN,2014,34.836
GMB,2014,58.528
GNB,2014,41.715
GNQ,2014,70.083
GRC,2014,77.702
GRD,2014,35.938
GRL,2014,85.813
GTM,2014,49.634
GUM,2014,94.449
GUY,2014,26.414
HKG,2014,100.0
HND,2014,54.514
HRV,2014,55.923
HTI,2014,51.444
HUN,2014,70.227
IDN,2014,52.635
IMN,2014,52.162
IND,2014,32.384
IRL,2014,62.34
IRN,2014,72.83
IRQ,2014,69.758
ISL,2014,93.667
ISR,2014,92.104
ITA,2014,69.272
JAM,2014,54.584
JOR,2014,90.0
JPN,2014,91.304
KAZ,2014,57.118
KEN,2014,25.221
KGZ,2014,35.635
KHM,2014,21.799
KIR,2014,50.773
KNA,2014,30.885
KOR,2014,81.707
KWT,2014,100.0
LAO,2014,32.487
LBN,2014,87.947
LBR,2014,49.397
LBY,2014,79.009
LCA,2014,18.482
LIE,2014,14.313
LKA,2014,18.218
LSO,2014,26.502
LTU,2014,67.108
LUX,2014,89.884
LVA,2014,67.952
MAC,2014,100.0
MAR,2014,60.256
MCO,2014,100.0
MDA,2014,42.496
MDG,2014,34.534
MDV,2014,38.106
MEX,2014,78.993
MHL,2014,75.384
MKD,2014,57.284
MLI,2014,39.196
MLT,2014,94.347
MMR,2014,29.65
MNE,2014,65.471
MNG,2014,68.163
MNP,2014,91.273
MOZ,2014,33.878
MRT,2014,50.203
MUS,2014,41.111
MWI,2014,16.132
MYS,2014,73.577
NAM,2014,45.826
NCL,2014,68.931
NER,2014,16.219
NGA,2014,46.982
NIC,2014,57.7
NLD,2014,89.69
NOR,2014,80.692
NPL,2014,18.182
NRU,2014,100.0
NZL,2014,86.281
OMN,2014,80.145
PAK,2014,35.819
PAN,2014,66.371
PER,2014,77.173
PHL,2014,46.093
PLW,2014,77.517
PNG,2014,12.988
POL,2014,60.403
PRI,2014,93.651
PRK,2014,61.098
PRT,2014,62.936
PRY,2014,60.474
PSE,2014,75.113
PYF,2014,61.633
QAT,2014,98.868
ROU,2014,53.9
RUS,2014,73.95
RWA,2014,16.967
SAU,2014,82.96
SDN,2014,33.689
SEN,2014,45.436
SGP,2014,100.0
SLB,2014,21.896
SLE,2014,40.432
SLV,2014,68.874
SMR,2014,96.559
SOM,2014,42.679
SRB,2014,55.583
SSD,2014,18.626
STP,2014,69.213
SUR,2014,66.089
SVK,2014,54.0
SVN,2014,53.557
SWE,2014,86.247
SWZ,2014,23.149
SYC,2014,54.969
SYR,2014,51.5
TCA,2014,91.851
TCD,2014,22.372
TGO,2014,39.579
THA,2014,46.943
TJK,2014,26.655
TKM,2014,49.921
TLS,2014,29.133
TON,2014,23.328
TTO,2014,53.413
TUN,2014,67.772
TUR,2014,73.077
TUV,2014,58.786
TZA,2014,30.904
UGA,2014,21.504
UKR,2014,68.968
URY,2014,94.945
USA,2014,81.483
UZB,2014,50.85
VCT,2014,50.558
VEN,2014,88.144
VIR,2014,95.213
VNM,2014,33.115
VUT,2014,24.861
WSM,2014,19.149
YEM,2014,34.165
ZAF,2014,64.312
ZMB,2014,41.382
ZWE,2014,32.504
ABW,2015,43.108
AFG,2015,24.803
AGO,2015,63.446
ALB,2015,57.434
AND,2015,88.345
ARE,2015,85.674
ARG,2015,91.503
ARM,2015,63.085
ASM,2015,87.238
ATG,2015,25.0
AUS,2015,85.701
AUT,2015,57.715
AZE,2015,54.714
BDI,2015,12.078
BEL,2015,97.876
BEN,2015,45.695
BFA,2015,27.53
BGD,2015,34.308
BGR,2015,73.99
BHR,2015,88.999
BHS,2015,82.746
BIH,2015,47.173
BLR,2015,77.181
BLZ,2015,45.406
BMU,2015,100.0
BOL,2015,68.393
BRA,2015,85.77
BRB,2015,31.249
BRN,2015,76.663
BTN,2015,38.678
BWA,2015,67.155
CAF,2015,40.277
CAN,2015,81.259
CHE,2015,73.718
CHL,2015,87.36
CHN,2015,55.5
CIV,2015,49.444
CMR,2015,54.578
COD,2015,42.74
COG,2015,65.543
COL,2015,79.764
COM,2015,28.47
CPV,2015,64.3
CRI,2015,76.862
CUB,2015,76.896
CYM,2015,100.0
CYP,2015,66.946
CZE,2015,73.477
DEU,2015,77.2
DJI,2015,77.417
DMA,2015,69.579
DNK,2015,87.526
DOM,2015,78.566
DZA,2015,70.848
ECU,2015,63.398
EGY,2015,42.785
ERI,2015,38.206
ESP,2015,79.602
EST,2015,68.416
ETH,2015,19.428
FIN,2015,85.225
FJI,2015,54.726
FRA,2015,79.655
FRO,2015,41.638
FSM,2015,22.456
GAB,2015,88.118
GBR,2015,82.626
GEO,2015,57.448
GHA,2015,54.086
GIB,2015,100.0
GIN,2015,35.141
GMB,2015,59.228
GNB,2015,42.123
GNQ,2015,70.616
GRC,2015,78.046
GRD,2015,35.997
GRL,2015,86.071
GTM,2015,49.971
GUM,2015,94.534
GUY,2015,26.441
HKG,2015,100.0
HND,2015,55.165
HRV,2015,56.155
HTI,2015,52.427
HUN,2015,70.5
IDN,2015,53.313
IMN,2015,52.245
IND,2015,32.777
IRL,2015,62.538
IRN,2015,73.358
IRQ,2015,69.921
ISL,2015,93.7
ISR,2015,92.179
ITA,2015,69.565
JAM,2015,54.833
JOR,2015,90.256
JPN,2015,91.381
KAZ,2015,57.191
KEN,2015,25.658
KGZ,2015,35.777
KHM,2015,22.188
KIR,2015,51.619
KNA,2015,30.827
KOR,2015,81.634
KWT,2015,100.0
LAO,2015,33.108
LBN,2015,88.106
LBR,2015,49.82
LBY,2015,79.27
LCA,2015,18.515
LIE,2015,14.303
LKA,2015,18.256
LSO,2015,26.908
LTU,2015,67.23
LUX,2015,90.179
LVA,2015,67.98
MAC,2015,100.0
MAR,2015,60.809
MCO,2015,100.0
MDA,2015,42.49
MDG,2015,35.193
MDV,2015,38.529
MEX,2015,79.285
MHL,2015,75.811
MKD,2015,57.408
MLI,2015,39.991
MLT,2015,94.414
MMR,2015,29.858
MNE,2015,65.806
MNG,2015,68.23
MNP,2015,91.357
MOZ,2015,34.4
MRT,2015,51.089
MUS,2015,41.0
MWI,2015,16.313
MYS,2015,74.213
NAM,2015,46.9
NCL,2015,69.379
NER,2015,16.247
NGA,2015,47.838
NIC,2015,57.895
NLD,2015,90.173
NOR,2015,81.091
NPL,2015,18.557
NRU,2015,100.0
NZL,2015,86.341
OMN,2015,81.35
PAK,2015,36.026
PAN,2015,66.696
PER,2015,77.357
PHL,2015,46.284
PLW,2015,78.159
PNG,2015,13.012
POL,2015,60.278
PRI,2015,93.624
PRK,2015,61.277
PRT,2015,63.514
PRY,2015,60.75
PSE,2015,75.368
PYF,2015,61.683
QAT,2015,98.945
ROU,2015,53.887
RUS,2015,74.05
RWA,2015,17.004
SAU,2015,83.18
SDN,2015,33.894
SEN,2015,45.862
SGP,2015,100.0
SLB,2015,22.36
SLE,2015,40.829
SLV,2015,69.7
SMR,2015,96.739
SOM,2015,43.245
SRB,2015,55.696
SSD,2015,18.852
STP,2015,70.174
SUR,2015,66.056
SVK,2015,53.889
SVN,2015,53.781
SWE,2015,86.553
SWZ,2015,23.3
SYC,2015,55.4
SYR,2015,52.168
TCA,2015,92.195
TCD,2015,22.515
TGO,2015,40.1
THA,2015,47.694
TJK,2015,26.742
TKM,2015,50.317
TLS,2015,29.49
TON,2015,23.275
TTO,2015,53.319
TUN,2015,68.056
TUR,2015,73.611
TUV,2015,59.73
TZA,2015,31.617
UGA,2015,22.06
UKR,2015,69.061
URY,2015,95.045
USA,2015,81.671
UZB,2015,50.75
VCT,2015,50.964
VEN,2015,88.154
VIR,2015,95.35
VNM,2015,33.809
VUT,2015,24.961
WSM,2015,18.914
YEM,2015,34.777
ZAF,2015,64.828
ZMB,2015,41.907
ZWE,2015,32.385
