iso3,year,urbanisation_rate
GUY,2009,26.869
HKG,2009,100.0
HND,2009,51.225
HRV,2009,54.987
HTI,2009,46.528
HUN,2009,68.46
IDN,2009,49.134
IMN,2009,51.976
IND,2009,30.587
IRL,2009,61.342
IRN,2009,70.045
IRQ,2009,68.98
ISL,2009,93.511
ISR,2009,91.763
ITA,2009,68.209
JAM,2009,53.557
JOR,2009,84.928
JPN,2009,89.989
KAZ,2009,56.755
KEN,2009,23.183
KGZ,2009,35.284
KHM,2009,19.93
KIR,2009,46.547
KNA,2009,31.463
KOR,2009,81.835
KWT,2009,100.0
LAO,2009,29.475
LBN,2009,87.187
LBR,2009,47.445
LBY,2009,77.837
LCA,2009,19.213
LIE,2009,14.519
LKA,2009,18.242
LSO,2009,24.293
LTU,2009,66.842
LUX,2009,88.178
LVA,2009,67.814
MAC,2009,100.0
MAR,2009,57.452
MCO,2009,100.0
MDA,2009,42.651
MDG,2009,31.301
MDV,2009,36.021
MEX,2009,77.52
MHL,2009,73.093
MKD,2009,57.117
MLI,2009,35.2
MLT,2009,94.001
MMR,2009,28.695
MNE,2009,63.808
MNG,2009,66.58
MNP,2009,90.872
MOZ,2009,31.328
MRT,2009,45.686
MUS,2009,41.666
MWI,2009,15.429
MYS,2009,70.075
NAM,2009,40.601
NCL,2009,66.624
NER,2009,16.225
NGA,2009,42.588
NIC,2009,56.721
NLD,2009,86.288
NOR,2009,78.815
NPL,2009,16.434
NRU,2009,100.0
NZL,2009,86.22
OMN,2009,74.624
PAK,2009,34.793
PAN,2009,64.851
PER,2009,76.241
PHL,2009,45.371
PLW,2009,74.109
PNG,2009,13.037
POL,2009,61.004
PRI,2009,93.884
PRK,2009,60.195
PRT,2009,59.964
PRY,2009,58.937
PSE,2009,73.923
PYF,2009,59.742
QAT,2009,98.336
ROU,2009,53.698
RUS,2009,73.642
RWA,2009,16.93
SAU,2009,81.867
SDN,2009,32.993
SEN,2009,43.359
SGP,2009,100.0
SLB,2009,19.589
SLE,2009,38.466
SLV,2009,64.57
SMR,2009,95.508
SOM,2009,37.645
SRB,2009,54.772
SSD,2009,17.701
STP,2009,63.823
SUR,2009,66.412
SVK,2009,54.96
SVN,2009,52.433
SWE,2009,84.902
SWZ,2009,22.262
SYC,2009,52.969
SYR,2009,55.237
TCA,2009,89.77
TCD,2009,21.934
TGO,2009,37.058
THA,2009,42.543
TJK,2009,26.518
TKM,2009,48.172
TLS,2009,27.389
TON,2009,23.335
TTO,2009,54.213
TUN,2009,66.376
TUR,2009,70.241
TUV,2009,53.782
TZA,2009,27.439
UGA,2009,18.878
UKR,2009,68.502
URY,2009,94.209
USA,2009,80.606
UZB,2009,50.472
VCT,2009,48.569
VEN,2009,88.057
VIR,2009,94.419
VNM,2009,29.762
VUT,2009,24.286
WSM,2009,20.3
YEM,2009,31.194
ZAF,2009,61.687
ZMB,2009,38.861
ZWE,2009,33.378
ABW,2010,43.059
AFG,2010,23.737
AGO,2010,59.783
ALB,2010,52.163
AND,2010,88.819
ARE,2010,84.087
ARG,2010,90.849
ARM,2010,63.44
ASM,2010,87.594
ATG,2010,26.238
AUS,2010,85.182
AUT,2010,57.399
AZE,2010,53.406
BDI,2010,10.642
BEL,2010,97.651
BEN,2010,43.093
BFA,2010,24.633
BGD,2010,30.462
BGR,2010,72.302
BHR,2010,88.634
BHS,2010,82.427
BIH,2010,45.558
BLR,2010,74.672
BLZ,2010,45.228
BMU,2010,100.0
BOL,2010,66.43
BRA,2010,84.335
BRB,2010,31.87
BRN,2010,74.961
BTN,2010,34.793
BWA,2010,62.412
CAF,2010,38.904
CAN,2010,80.937
CHE,2010,73.607
CHL,2010,87.074
CHN,2010,49.226
CIV,2010,47.33
CMR,2010,51.559
COD,2010,40.013
COG,2010,63.256
COL,2010,77.964
COM,2010,27.973
CPV,2010,61.821
CRI,2010,71.736
CUB,2010,76.597
CYM,2010,100.0
CYP,2010,67.551
CZE,2010,73.255
