iso3,year,population
NRU,2009,10041
FRO,2009,48512
GMB,2009,1871431
MKD,2009,2060601
NPL,2009,27173035
PRK,2009,24878338
NLD,2009,16684147
FJI,2009,907247
ARG,2009,40854832
NER,2009,15943673
NIC,2009,5656605
FRA,2009,63106461
BEL,2009,10812936
VUT,2009,232739
JEY,2009,96154
PYF,2009,269496
NZL,2009,4304304
FIN,2009,5338855
NCL,2009,257259
GAB,2009,1661566
TCA,2009,28609
NIU,2009,1801
NGA,2009,162049465
ETH,2009,88007639
PAK,2009,194376535
DEU,2009,80935275
MSR,2009,4759
GRC,2009,11108069
PRY,2009,5671245
SLV,2009,6048284
MNE,2009,632445
AIA,2009,13138
MAR,2009,32030779
PER,2009,28896818
EGY,2009,87501636
PHL,2009,94384256
MDV,2009,348282
POL,2009,38002154
MCO,2009,32388
ECU,2009,14825961
MNG,2009,2665331
UGA,2009,31451146
GNQ,2009,1135684
GIB,2009,30847
SWZ,2009,1105157
MMR,2009,48660458
PLW,2009,18733
BLR,2009,9507334
TKM,2009,5451596
GHA,2009,24862668
PNG,2009,7406442
EST,2009,1334528
PSE,2009,3921243
PAN,2009,3564383
MOZ,2009,22391752
ERI,2009,2887888
UZB,2009,27939333
VAT,2009,637
BLZ,2009,312618
CRI,2009,4499788
MAF,2009,36521
VNM,2009,86460023
KHM,2009,14276819
IMN,2009,82955
LKA,2009,20756435
LVA,2009,2142043
BOL,2009,10016280
CMR,2009,19113979
IRL,2009,4533750
BHR,2009,1183616
ESP,2009,46635182
AZE,2009,9046336
CAN,2009,33826369
LBN,2009,4992293
SSD,2009,9243558
IRQ,2009,30058207
KOR,2009,48546689
CPV,2009,506149
MYS,2009,28124780
IDN,2009,243220024
TON,2009,107219
LBY,2009,6366688
CAF,2009,4529051
SLB,2009,518150
WLF,2009,13436
LAO,2009,6241649
LBR,2009,3943036
IRN,2009,76457832
CYM,2009,52638
SOM,2009,11961204
ZMB,2009,13490394
ZAF,2009,51728518
LSO,2009,1980885
DZA,2009,35490443
SVN,2009,2035611
SDN,2009,34569115
TKL,2009,1597
TGO,2009,6551867
THA,2009,68121076
AFG,2009,27466101
BIH,2009,3879798
BWA,2009,1990671
JOR,2009,7141763
BHS,2009,362807
TZA,2009,43633977
JPN,2009,128192471
BRA,2009,192079956
KAZ,2009,16619850
KEN,2009,40408887
TJK,2009,7490233
BRN,2009,384964
JAM,2009,2737001
USA,2009,308023451
TWN,2009,23164354
GBR,2009,62506221
BDI,2009,8947653
ALB,2009,2961487
SUR,2009,543580
ISR,2009,7206096
SWE,2009,9298738
KGZ,2009,5398013
BFA,2009,15710065
CHE,2009,7737642
ITA,2009,59904016
SYR,2009,21976971
BGR,2009,7488018
ESH,2009,394961
KIR,2009,106479
KWT,2009,2795490
TCD,2009,11893752
GUF,2009,230715
LIE,2009,35739
BTN,2009,693995
CHN,2009,1342522709
LUX,2009,498195
SLE,2009,6055655
SYC,2009,93644
COL,2009,44271541
AUT,2009,8345072
HUN,2009,10001382
MAC,2009,549491
COM,2009,641947
SEN,2009,12337391
ASM,2009,55541
MDG,2009,21547277
SAU,2009,24217654
COG,2009,4281219
HKG,2009,7064465
BGD,2009,150873716
TTO,2009,1379056
MWI,2009,14395788
STP,2009,177867
COK,2009,16497
HND,2009,8189904
SMR,2009,30113
ISL,2009,318619
SGP,2009,4968573
SRB,2009,7425346
IND,2009,1225524760
VIR,2009,106766
LTU,2009,3163258
SVK,2009,5385074
CHL,2009,17009728
ARE,2009,6707063
IND,2010,1243481564
GNB,2010,1566350
NPL,2010,27341955
MEX,2010,113623897
ZMB,2010,13965592
MDG,2010,22183343
HKG,2010,7101612
GMB,2010,1926635
IDN,2010,246305326
NRU,2010,10067
GLP,2010,408815
MLT,2010,422652
KIR,2010,108717
MYT,2010,207438
NAM,2010,2109813
ITA,2010,60164212
NIC,2010,5737451
LBY,2010,6497838
GEO,2010,3895933
USA,2010,311062786
GBR,2010,63006484
LSO,2010,1996257
KEN,2010,41598570
UKR,2010,46456002
MYS,2010,28655771
BHS,2010,367482
BIH,2010,3811480
HTI,2010,9803299
ARG,2010,41288694
NZL,2010,4347767
BGD,2010,152201977
LIE,2010,36021
MDV,2010,360801
JOR,2010,7297045
JAM,2010,2748573
HND,2010,8365882
PYF,2010,270589
MWI,2010,14826466
MLI,2010,15945201
NCL,2010,261580
BRB,2010,275250
GUY,2010,749258
KAZ,2010,16836809
ARE,2010,6938372
GAB,2010,1719883
NLD,2010,16771232
JPN,2010,128185273
KWT,2010,2943372
ISR,2010,7336737
MMR,2010,49024376
IRL,2010,4559083
MSR,2010,4819
LUX,2010,507418
MTQ,2010,397389
VIR,2010,106325
GRC,2010,11124665
MNE,2010,632090
GGY,2010,61539
MDA,2010,3631993
GRD,2010,111601
LBN,2010,5041290
MNG,2010,2701738
LTU,2010,3097719
IRQ,2010,31045365
GTM,2010,14500117
URY,2010,3318582
BHR,2010,1213250
MRT,2010,3390967
GRL,2010,56634
ISL,2010,318163
IRN,2010,77420852
LVA,2010,2097834
TUV,2010,10635
MAR,2010,32467008
AUT,2010,8365087
MUS,2010,1282710
BLR,2010,9490752
AUS,2010,22141583
DEU,2010,80830917
FSM,2010,107558
UGA,2010,32390800
ARM,2010,2931083
MHL,2010,52065
UZB,2010,28385508
MAC,2010,562810
ABW,2010,100127
KGZ,2010,5491763
GUM,2010,166533
GIN,2010,10396091
IMN,2010,83883
GHA,2010,25475001
MOZ,2010,22999235
HUN,2010,9979129
LAO,2010,6334198
AZE,2010,9146852
LBR,2010,4058897
GIB,2010,31271
MCO,2010,33187
ETH,2010,90538520
HRV,2010,4301152
CIV,2010,22488068
BMU,2010,63748
VCT,2010,109976
WSM,2010,193035
CRI,2010,4555965
SMR,2010,30648
TTO,2010,1386657
COK,2010,16999
ZWE,2010,13356552
VNM,2010,87455150
COG,2010,4462303
SAU,2010,25157135
ASM,2010,55245
COM,2010,654845
SEN,2010,12635418
SRB,2010,7395872
COL,2010,44777325
SYC,2010,94993
STP,2010,181811
CHN,2010,1351561511
SPM,2010,6047
MAF,2010,36875
BEN,2010,9797488
REU,2010,844480
DJI,2010,930251
ROU,2010,20432576
RUS,2010,143934468
DNK,2010,5547866
VEN,2010,28813101
RWA,2010,10317559
GUF,2010,234577
COD,2010,68563037
TUN,2010,10765982
CZE,2010,10464035
SHN,2010,5352
KNA,2010,46871
CYP,2010,1127825
AND,2010,80726
LCA,2010,170920
CUB,2010,11297413
BLM,2010,8989
SLE,2010,6222715
SGP,2010,5077019
CHL,2010,17181462
SDN,2010,35414403
BDI,2010,9376447
SUR,2010,549932
BFA,2010,16176504
SWE,2010,9378234
CHE,2010,7825751
BGR,2010,7437594
SYR,2010,22482418
ALB,2010,2928730
TWN,2010,23224047
ESH,2010,409722
TJK,2010,7652144
BRA,2010,193701931
AFG,2010,28284088
TZA,2010,44758489
TGO,2010,6732595
BWA,2010,2033110
THA,2010,68579442
BRN,2010,392340
BOL,2010,10182345
KHM,2010,14500732
TKL,2010,1610
BTN,2010,701639
SVK,2010,5391857
TON,2010,107415
TCD,2010,12312582
SVN,2010,2044612
DZA,2010,36188236
CAF,2010,4493001
SLB,2010,532977
CYM,2010,54119
WLF,2010,13188
SOM,2010,12261762
ZAF,2010,52344045
CPV,2010,509794
KOR,2010,48769330
SSD,2010,9745954
CAN,2010,34196901
ESP,2010,46840470
CMR,2010,19668064
LKA,2010,20879090
DMA,2010,68872
AGO,2010,23294821
JEY,2010,97121
AIA,2010,13372
EST,2010,1331450
BEL,2010,10936620
PNG,2010,7633523
FLK,2010,3218
PSE,2010,4016915
PHL,2010,96337126
EGY,2010,89196070
ATG,2010,85337
PER,2010,29086021
NIU,2010,1786
ECU,2010,15076695
ERI,2010,2945185
SLV,2010,6068252
PRY,2010,5737974
PAK,2010,199239047
MNP,2010,54108
BLZ,2010,320256
PRK,2010,24987258
PAN,2010,3628537
MKD,2010,2051510
VAT,2010,629
FRO,2010,48189
FJI,2010,910426
POL,2010,38095356
VUT,2010,238257
PLW,2010,18418
SWZ,2010,1111650
QAT,2010,1709240
DOM,2010,9820181
NER,2010,16548832
YEM,2010,26754384
TKM,2010,5564355
PRI,2010,3714835
NOR,2010,4889160
FRA,2010,63417366
TCA,2010,29762
TLS,2010,1084687
GNQ,2010,1189096
PRT,2010,10578659
TUR,2010,73346766
NGA,2010,166642887
FIN,2010,5363347
OMN,2010,2757451
ARE,2011,7199437
TKL,2011,1625
ESP,2011,46998040
NOR,2011,4952968
ATG,2011,86349
SVN,2011,2048805
LVA,2011,2059940
LSO,2011,2014015
SSD,2011,10288111
TKM,2011,5683413
ZAF,2011,52995210
MMR,2011,49419824
SOM,2011,12348829
MNP,2011,53632
LBN,2011,5096018
OMN,2011,3076761
NAM,2011,2146330
LBR,2011,4221178
SLB,2011,552957
KOR,2011,49127641
ABW,2011,100994
ALB,2011,2911500
GBR,2011,63509285
TWN,2011,23273078
KEN,2011,42758466
ARG,2011,41730655
AFG,2011,29347709
TJK,2011,7824785
NCL,2011,266547
KAZ,2011,17065997
NZL,2011,4382702
TZA,2011,46029372
JOR,2011,7480430
NER,2011,17176286
TCA,2011,30870
THA,2011,69007211
TGO,2011,6916477
MKD,2011,2040442
SYR,2011,22878103
KIR,2011,110661
LAO,2011,6426595
LKA,2011,21009054
NRU,2011,10116
PRK,2011,25097878
AZE,2011,9256154
KGZ,2011,5594537
CHE,2011,7914378
NPL,2011,27464499
NIU,2011,1776
SUR,2011,556279
KWT,2011,3132816
NGA,2011,171379601
SWE,2011,9449262
NLD,2011,16851061
SDN,2011,36140807
LBY,2011,6343210
AUT,2011,8393272
PAK,2011,203746069
TUR,2011,74215200
SHN,2011,5385
