iso3,year,population
PYF,2013,274737
NCL,2013,276832
TCA,2013,33675
LBN,2013,5743440
MEX,2013,118343571
IRQ,2013,35281987
NZL,2013,4453859
HTI,2013,10222365
MYT,2013,226641
LVA,2013,2013004
USA,2013,320110753
NIC,2013,5983850
IRL,2013,4624687
GUM,2013,165978
ARE,2013,7831852
LAO,2013,6611385
ZMB,2013,15399000
VIR,2013,103168
LUX,2013,543359
HKG,2013,7264330
MAC,2013,598752
HUN,2013,9889344
ARM,2013,2922528
MNG,2013,2851887
GIB,2013,32429
GRC,2013,10967535
MSR,2013,4774
LTU,2013,2958359
TUV,2013,11027
ISL,2013,323891
MAR,2013,33787573
BRB,2013,277670
IDN,2013,255852466
MDG,2013,24109290
LIE,2013,36930
MOZ,2013,25051613
IND,2013,1295829506
DEU,2013,81041580
MCO,2013,35475
AUT,2013,8481411
MMR,2013,50262658
GRL,2013,56532
GEO,2013,3809128
NAM,2013,2252506
BHR,2013,1257206
HND,2013,8889277
GMB,2013,2103826
NRU,2013,10539
GHA,2013,27386192
MYS,2013,30174269
MNE,2013,633203
NER,2013,18519898
ITA,2013,60653865
FLK,2013,3291
MLI,2013,17459621
FRA,2013,64387736
TKM,2013,5939347
BEL,2013,11160277
VUT,2013,254495
KEN,2013,44986794
BHS,2013,378957
NOR,2013,5080125
ETH,2013,98438750
JAM,2013,2783689
OMN,2013,3833915
MTQ,2013,389469
GTM,2013,15387341
GNB,2013,1695978
MLT,2013,428457
GGY,2013,62044
SWZ,2013,1129999
GBR,2013,64389386
PAK,2013,211073979
JOR,2013,7991812
JPN,2013,127723641
YEM,2013,29312956
BGD,2013,156532135
EST,2013,1317921
MHL,2013,50696
PLW,2013,17669
JEY,2013,99757
GIN,2013,11191874
KAZ,2013,17556502
KIR,2013,113847
MNP,2013,52775
GUY,2013,750021
ERI,2013,3074366
ABW,2013,102570
FIN,2013,5439058
UGA,2013,35337050
KGZ,2013,5797296
NGA,2013,181049443
IMN,2013,84158
AUS,2013,23236271
FJI,2013,916358
MKD,2013,2013280
NIU,2013,1786
AZE,2013,9504417
MDV,2013,400079
MUS,2013,1290989
PRK,2013,25329455
FRO,2013,48296
ATG,2013,88074
MRT,2013,3734324
ISR,2013,7749369
KWT,2013,3507754
HND,2014,9063127
MAC,2014,610308
HKG,2014,7319503
SLB,2014,616915
TCD,2014,14188681
MWI,2014,16621535
SOM,2014,13339498
BGD,2014,157964931
MYS,2014,30696133
SGP,2014,5457899
CPV,2014,512334
CYM,2014,60179
MLT,2014,434494
CAF,2014,4623188
GUY,2014,754230
BTN,2014,733151
MLI,2014,18020267
HTI,2014,10373241
SVK,2014,5415237
GNB,2014,1741125
AUS,2014,23595599
MDG,2014,24764357
SVN,2014,2058396
VIR,2014,102012
UKR,2014,45972378
MDV,2014,413623
SLE,2014,6876384
ERI,2014,3095169
ESP,2014,46720186
LUX,2014,556285
SWE,2014,9696437
AFG,2014,32792527
BGR,2014,7223451
IRL,2014,4658237
KGZ,2014,5898324
CHE,2014,8190238
TGO,2014,7472458
IMN,2014,83913
BOL,2014,10848889
BRN,2014,416754
KWT,2014,3665769
SYR,2014,20273662
AZE,2014,9631136
ISR,2014,7897173
KIR,2014,115338
BHS,2014,382311
TWN,2014,23472810
THA,2014,70216362
JEY,2014,100582
GBR,2014,64865914
BIH,2014,3564831
JPN,2014,127486600
TZA,2014,50351505
LAO,2014,6703170
JOR,2014,8791715
BWA,2014,2172052
KAZ,2014,17816285
TJK,2014,8425558
KEN,2014,46051441
BRA,2014,200085126
ITA,2014,60664169
JAM,2014,2793756
ESH,2014,472590
LVA,2014,1994153
ARE,2014,8236880
ZAF,2014,55594838
TKL,2014,1748
ALB,2014,2903748
CAN,2014,35634265
HUN,2014,9862843
YEM,2014,30226310
LTU,2014,2933172
KOR,2014,50539055
ISL,2014,327516
BHR,2014,1312858
LIE,2014,37191
SSD,2014,11235071
IND,2014,1312277184
CMR,2014,22059894
ZWE,2014,14207367
LBY,2014,6427260
AUT,2014,8547812
IRQ,2014,36550059
BFA,2014,18229466
LBN,2014,6346993
SDN,2014,38823324
USA,2014,323115378
IRN,2014,81502045
SUR,2014,575382
BDI,2014,10799790
LKA,2014,21547455
LSO,2014,2080091
IDN,2014,258877397
KHM,2014,15396771
LBR,2014,4564301
CHL,2014,17864191
WLF,2014,12327
VNM,2014,91679583
GUM,2014,165493
DZA,2014,39205035
TUN,2014,11274295
REU,2014,858677
NZL,2014,4522977
DJI,2014,1002720
GUF,2014,260562
QAT,2014,2218377
BLR,2014,9472704
NIC,2014,6066491
DMA,2014,70385
PRI,2014,3565368
NER,2014,19215917
FIN,2014,5461686
FJI,2014,917589
DOM,2014,10315524
FRA,2014,64692495
VAT,2014,587
NCL,2014,281233
ROU,2014,19968180
BLM,2014,9471
NRU,2014,10765
CZE,2014,10517222
AND,2014,73755
GIN,2014,11472921
RWA,2014,11364758
DNK,2014,5643793
GAB,2014,1978402
COD,2014,78403248
RUS,2014,144925638
NLD,2014,17030087
TCA,2014,35077
UZB,2014,30222995
PYF,2014,276388
NPL,2014,27672373
GMB,2014,2164533
PRT,2014,10406202
ZMB,2014,15895318
BEL,2014,11210111
OMN,2014,4002445
VUT,2014,260246
TUR,2014,78036154
PNG,2014,8523440
SWZ,2014,1136305
PRY,2014,6069816
SLV,2014,6162953
PAN,2014,3892101
EST,2014,1314456
GNQ,2014,1399829
PLW,2014,17739
AIA,2014,13748
PSE,2014,4415886
PAK,2014,214264649
NGA,2014,185896917
ETH,2014,101115615
MNP,2014,52199
NIU,2014,1792
AGO,2014,27160766
TLS,2014,1181913
POL,2014,38265113
ATG,2014,88783
FRO,2014,48515
EGY,2014,97528656
BLZ,2014,348935
PHL,2014,103767129
ECU,2014,16035126
MKD,2014,1997842
TKM,2014,6075286
FLK,2014,3362
PER,2014,30115826
PRK,2014,25451263
NAM,2014,2312144
ARG,2014,43024072
MMR,2014,50681634
MYT,2014,235785
GLP,2014,406651
COG,2014,4975887
MEX,2014,119784263
SMR,2014,33753
FSM,2014,108407
STP,2014,196780
GRD,2014,114148
MDA,2014,3342714
WSM,2014,200051
URY,2014,3356342
GRL,2014,56196
BEN,2014,11030008
ASM,2014,53490
COK,2014,17555
VCT,2014,107555
BMU,2014,63551
SAU,2014,28998127
SYC,2014,104663
MHL,2014,49815
GGY,2014,62188
CHN,2014,1387951973
TON,2014,106627
SRB,2014,7227203
COM,2014,711511
MTQ,2014,387026
COL,2014,46565426
SEN,2014,14152101
MRT,2014,3848513
UGA,2014,36395544
ABW,2014,103381
MUS,2014,1292006
GTM,2014,15681725
GRC,2014,10893169
MCO,2014,36154
VEN,2014,30254080
TUV,2014,11007
GIB,2014,32836
HRV,2014,4219485
LCA,2014,174145
MSR,2014,4738
GHA,2014,28041591
MAF,2014,37471
CUB,2014,11285781
KNA,2014,47112
DEU,2014,81376078
MOZ,2014,25788474
GEO,2014,3792921
CYP,2014,1201807
SHN,2014,5493
MAR,2014,34204783
TTO,2014,1421135
NOR,2014,5137397
BRB,2014,278355
MNE,2014,631376
CRI,2014,4767126
CIV,2014,24527392
MNG,2014,2913041
SPM,2014,5984
ARM,2014,2922433
VUT,2015,266116
TUR,2015,80014221
TKL,2015,1719
WLF,2015,12185
TUV,2015,10984
ARE,2015,8674629
GBR,2015,65382107
URY,2015,3368022
UKR,2015,45784903
ZMB,2015,16399090
VIR,2015,100250
USA,2015,326126498
TUN,2015,11402270
VNM,2015,92823254
TON,2015,106111
TCA,2015,36632
ESH,2015,486230
TTO,2015,1429189
VAT,2015,579
UZB,2015,30749349
YEM,2015,31159379
TKM,2015,6215775
VEN,2015,30573970
UGA,2015,37531444
TGO,2015,7663199
LBY,2015,6531825
TZA,2015,52020959
GAB,2015,2040990
PYF,2015,277878
GUF,2015,266377
FRA,2015,64916336
FIN,2015,5479718
FJI,2015,918583
FRO,2015,48916
FLK,2015,3432
ETH,2015,103867140
SWZ,2015,1142823
EST,2015,1314581
ERI,2015,3105554
GNQ,2015,1453926
SLV,2015,6183674
EGY,2015,99597333
ECU,2015,16266228
TLS,2015,1205134
DOM,2015,10434826
DMA,2015,70429
DJI,2015,1020315
DNK,2015,5683698
GMB,2015,2224532
GEO,2015,3791571
DEU,2015,82077546
GHA,2015,28696071
IMN,2015,83612
IRL,2015,4702497
IRQ,2015,37560535
IRN,2015,82619365
IDN,2015,261799249
IND,2015,1328024492
ISL,2015,330962
HUN,2015,9839210
HKG,2015,7366411
HND,2015,9237305
COD,2015,81035535
HTI,2015,10523249
GNB,2015,1786461
GIN,2015,11767077
GGY,2015,62259
GTM,2015,15971745
GUM,2015,164914
GLP,2015,403951
GRD,2015,114691
GRL,2015,56048
GRC,2015,10820901
GIB,2015,33213
GUY,2015,758785
CZE,2015,10524419
CYP,2015,1219504
CUB,2015,11275068
BEN,2015,11360681
BLZ,2015,356340
BEL,2015,11275332
BLR,2015,9487288
BRB,2015,278997
BGD,2015,159383180
BHR,2015,1369656
BHS,2015,385355
AZE,2015,9752859
AUT,2015,8644037
BMU,2015,63481
AUS,2015,23947998
ARM,2015,2921179
ARG,2015,43477009
ATG,2015,89422
AIA,2015,14235
AGO,2015,28157801
AND,2015,72194
ASM,2015,52895
DZA,2015,40019528
ALB,2015,2898634
AFG,2015,33831765
ABW,2015,104200
ISR,2015,8052915
BTN,2015,740624
BIH,2015,3518541
HRV,2015,4183732
CIV,2015,25246346
CRI,2015,4818044
COK,2015,17469
COG,2015,5097583
COM,2015,726685
COL,2015,46969937
CHN,2015,1396134164
CHL,2015,18047628
TCD,2015,14647625
BOL,2015,11014707
CAF,2015,4629323
CPV,2015,512405
CAN,2015,35962236
CMR,2015,22763419
KHM,2015,15623253
BDI,2015,11047580
BFA,2015,18777488
BGR,2015,7177516
BRN,2015,422224
BRA,2015,201675534
BWA,2015,2203276
CYM,2015,61665
ITA,2015,60575314
JAM,2015,2802535
JPN,2015,127275868
SPM,2015,5971
MAF,2015,37384
LCA,2015,174919
KNA,2015,47108
SHN,2015,5529
BLM,2015,9617
RWA,2015,11640027
RUS,2015,145307611
ROU,2015,19871018
REU,2015,865016
VCT,2015,106975
QAT,2015,2427337
PRT,2015,10370266
POL,2015,38266314
PHL,2015,105312986
PER,2015,30457600
PRY,2015,6159106
PNG,2015,8743247
PAN,2015,3960036
PSE,2015,4521566
PLW,2015,17791
PAK,2015,217290885
PRI,2015,3521810
OMN,2015,4184897
WSM,2015,201794
STP,2015,200306
TJK,2015,8643839
TWN,2015,23529259
SYR,2015,19424615
CHE,2015,8283940
SWE,2015,9799482
SUR,2015,581633
SDN,2015,40024436
LKA,2015,21729974
ESP,2015,46683683
SSD,2015,11107569
SMR,2015,33926
KOR,2015,50983908
SOM,2015,13806969
SLB,2015,639423
SVN,2015,2059947
SVK,2015,5420279
SGP,2015,5525343
SLE,2015,7037659
SYC,2015,107247
SRB,2015,7177257
SEN,2015,14593336
SAU,2015,29974944
ZAF,2015,56723537
THA,2015,70540790
NOR,2015,5189776
MKD,2015,1980366
MLT,2015,444979
MLI,2015,18593022
MDV,2015,428165
MYS,2015,31232796
MWI,2015,17085585
MDG,2015,25426704
MAC,2015,622186
LUX,2015,569541
LTU,2015,2905772
LIE,2015,37424
MHL,2015,48822
LBR,2015,4659438
LBN,2015,6472470
LVA,2015,1977874
LAO,2015,6801650
KGZ,2015,6001876
KWT,2015,3834464
KIR,2015,116826
KEN,2015,47088527
KAZ,2015,18084173
JOR,2015,9544730
JEY,2015,101223
LSO,2015,2104613
MNP,2015,51538
MTQ,2015,383738
MUS,2015,1292282
PRK,2015,25575355
NIU,2015,1803
NGA,2015,190671883
NER,2015,19939497
NIC,2015,6149418
NZL,2015,4614037
NCL,2015,283177
NLD,2015,17107427
NPL,2015,27823631
NRU,2015,10974
MRT,2015,3965959
NAM,2015,2374305
MOZ,2015,26547575
MAR,2015,34607590
MSR,2015,4693
MNE,2015,628147
MNG,2015,2976528
MCO,2015,36785
MDA,2015,3287169
FSM,2015,108727
MEX,2015,121072310
MYT,2015,245594
MMR,2015,51089060
ZWE,2015,14399009
