SpatialDim,TimeDim,NumericValue
AZE,2008,58648.95
AZE,2009,59774.85
AZE,2010,60642.61
AZE,2011,62724.62
AZE,2012,64792.76
AZE,2013,66566.82
AZE,2014,68852.9
AZE,2015,70170.48
AZE,2016,72727.88
AZE,2017,75107.45
AZE,2018,73967.91
AZE,2019,74164.01
BDI,2000,22647.08
BDI,2001,22107.93
BDI,2002,22100.12
BDI,2003,22048.86
BDI,2004,22181.47
BDI,2005,22196.21
BDI,2006,22856.11
BDI,2007,22818.94
BDI,2008,22897.69
BDI,2009,23174.88
BDI,2010,23586.94
BDI,2011,24093.86
BDI,2012,24664.12
BDI,2013,25064.83
BDI,2014,25254.77
BDI,2015,25521.33
BDI,2016,26167.37
BDI,2017,26812.69
BDI,2018,27571.49
BDI,2019,28235.54
BEL,2000,90784.63
BEL,2001,90362.88
BEL,2002,92742.16
BEL,2003,94066.2
BEL,2004,89357.16
BEL,2005,89726.89
BEL,2006,89109.99
BEL,2007,88922.71
BEL,2008,91544.14
BEL,2009,91238.84
BEL,2010,93555.95
BEL,2011,92879.98
BEL,2012,96783.15
BEL,2013,95995.67
BEL,2014,91790.44
BEL,2015,95881.85
BEL,2016,94733.41
BEL,2017,97342.55
BEL,2018,97876.98
BEL,2019,97375.64
BEN,2000,23763.8
BEN,2001,24206.56
BEN,2002,25183.94
BEN,2003,25686.45
BEN,2004,26203.57
BEN,2005,26443.03
BEN,2006,27127.88
BEN,2007,27600.22
BEN,2008,27895.77
BEN,2009,28831.6
BEN,2010,29536.63
BEN,2011,30700.37
BEN,2012,31590.75
BEN,2013,32303.29
BEN,2014,32918.43
BEN,2015,33648.31
BEN,2016,34462.26
BEN,2017,35226.5
BEN,2018,35821.09
BEN,2019,36419.72
BFA,2000,35272.16
BFA,2001,35559.17
BFA,2002,36423.3
BFA,2003,36585.6
BFA,2004,37152.45
BFA,2005,37685.82
BFA,2006,38775.29
BFA,2007,39591.83
BFA,2008,40195.38
BFA,2009,40445.27
BFA,2010,41578.41
BFA,2011,42577.96
BFA,2012,43847.85
BFA,2013,46467.29
BFA,2014,47815.27
BFA,2015,49091.95
BFA,2016,50359.26
BFA,2017,51362.27
BFA,2018,51477.89
BFA,2019,52823.37
BGD,2000,373554.2
BGD,2001,382974.5
BGD,2002,400880.5
BGD,2003,418312.3
BGD,2004,428929.7
BGD,2005,450572.9
BGD,2006,476503.3
BGD,2007,484417.1
BGD,2008,481523.0
BGD,2009,482934.3
BGD,2010,483951.4
BGD,2011,458995.0
BGD,2012,443552.1
BGD,2013,449246.6
BGD,2014,464863.2
BGD,2015,469762.7
BGD,2016,487078.4
BGD,2017,520672.7
BGD,2018,539916.5
BGD,2019,557234.2
BGR,2000,107216.9
BGR,2001,105854.3
BGR,2002,107413.2
BGR,2003,107260.7
BGR,2004,105128.6
BGR,2005,106645.5
BGR,2006,107939.8
BGR,2007,108154.4
BGR,2008,105896.2
BGR,2009,103606.8
BGR,2010,105300.7
BGR,2011,103790.6
BGR,2012,103967.3
BGR,2013,99488.31
BGR,2014,102910.2
BGR,2015,103010.9
BGR,2016,101965.8
BGR,2017,104549.4
BGR,2018,103558.7
BGR,2019,101204.3
BHR,2000,2291.063
BHR,2001,2393.893
BHR,2002,2406.967
BHR,2003,2378.113
BHR,2004,2295.817
BHR,2005,2246.179
BHR,2006,2209.215
BHR,2007,2486.464
BHR,2008,2648.469
BHR,2009,2803.22
BHR,2010,2811.145
BHR,2011,2851.392
BHR,2012,2801.192
BHR,2013,2792.667
BHR,2014,2872.864
BHR,2015,2944.647
BHR,2016,3127.149
BHR,2017,3389.302
BHR,2018,3726.169
BHR,2019,3980.102
BHS,2000,1121.068
