SpatialDim,TimeDim,NumericValue
BEL,2007,378.6982
BEL,2008,378.5295
BEL,2009,368.5502
BEL,2010,369.449
BEL,2011,357.9637
BEL,2012,362.6959
BEL,2013,353.0936
BEL,2014,333.3416
BEL,2015,341.4275
BEL,2016,330.5083
BEL,2017,329.7923
BEL,2018,325.2854
BEL,2019,319.4781
BEN,2000,707.8835
BEN,2001,705.7768
BEN,2002,707.3965
BEN,2003,703.9888
BEN,2004,702.1298
BEN,2005,696.4601
BEN,2006,693.4294
BEN,2007,686.6649
BEN,2008,677.7152
BEN,2009,679.9878
BEN,2010,677.3536
BEN,2011,678.1187
BEN,2012,674.7512
BEN,2013,670.0813
BEN,2014,663.6338
BEN,2015,660.2991
BEN,2016,654.5806
BEN,2017,649.1138
BEN,2018,642.0223
BEN,2019,634.4233
BFA,2000,705.0036
BFA,2001,700.5778
BFA,2002,701.7333
BFA,2003,694.5023
BFA,2004,693.3173
BFA,2005,691.9764
BFA,2006,692.9737
BFA,2007,690.9371
BFA,2008,687.3043
BFA,2009,685.646
BFA,2010,685.4791
BFA,2011,681.0954
BFA,2012,683.5042
BFA,2013,686.0695
BFA,2014,679.1969
BFA,2015,676.8431
BFA,2016,670.2258
BFA,2017,662.6966
BFA,2018,654.7888
BFA,2019,647.7739
BGD,2000,596.0478
BGD,2001,590.4516
BGD,2002,600.4245
BGD,2003,607.3026
BGD,2004,603.0115
BGD,2005,612.4533
BGD,2006,622.5987
BGD,2007,608.9351
BGD,2008,585.3395
BGD,2009,570.4527
BGD,2010,558.7168
BGD,2011,506.2303
BGD,2012,468.0243
BGD,2013,459.4327
BGD,2014,463.2876
BGD,2015,454.5895
BGD,2016,454.4205
BGD,2017,471.4548
BGD,2018,473.1018
BGD,2019,473.6921
BGR,2000,792.9865
BGR,2001,769.5465
BGR,2002,769.6136
BGR,2003,760.6991
BGR,2004,742.0862
BGR,2005,746.8208
BGR,2006,735.7645
BGR,2007,722.0743
BGR,2008,697.2988
BGR,2009,678.8722
BGR,2010,686.8053
BGR,2011,665.9456
BGR,2012,655.466
BGR,2013,626.4147
BGR,2014,645.9651
BGR,2015,645.2061
BGR,2016,629.7375
BGR,2017,636.1922
BGR,2018,629.4221
BGR,2019,616.4898
BHR,2000,1001.605
BHR,2001,1001.35
BHR,2002,983.2288
BHR,2003,922.9663
BHR,2004,849.8815
BHR,2005,776.6976
BHR,2006,732.8306
BHR,2007,772.6669
BHR,2008,789.7679
BHR,2009,808.1885
BHR,2010,759.6007
BHR,2011,704.4346
BHR,2012,649.2184
BHR,2013,608.1402
BHR,2014,588.8359
BHR,2015,569.1351
BHR,2016,578.7435
BHR,2017,599.764
BHR,2018,634.4683
BHR,2019,644.3488
BHS,2000,532.0826
BHS,2001,549.5281
BHS,2002,522.833
BHS,2003,526.2798
BHS,2004,563.099
BHS,2005,537.2994
BHS,2006,549.7992
BHS,2007,529.0053
BHS,2008,535.3601
BHS,2009,543.8521
BHS,2010,548.504
BHS,2011,548.225
BHS,2012,534.7457
BHS,2013,519.1511
BHS,2014,513.3969
BHS,2015,525.5681
BHS,2016,526.4685
BHS,2017,518.2338
BHS,2018,530.8751
BHS,2019,532.2753
BIH,2000,575.2174
BIH,2001,605.8776
BIH,2002,622.2716
BIH,2003,623.1886
BIH,2004,618.7427
BIH,2005,627.5623
BIH,2006,612.2776
BIH,2007,628.2054
BIH,2008,592.5639
BIH,2009,584.3185
BIH,2010,573.4779
BIH,2011,573.7071
BIH,2012,562.9366
BIH,2013,562.7406
BIH,2014,563.1545
BIH,2015,571.9583
BIH,2016,560.1372
BIH,2017,554.2345
BIH,2018,554.2866
BIH,2019,550.9266
BLR,2000,840.5219
BLR,2001,872.2049
BLR,2002,910.0142
BLR,2003,882.3906
BLR,2004,857.726
BLR,2005,860.7502
BLR,2006,830.1802
BLR,2007,785.718
BLR,2008,777.3166
BLR,2009,776.1313
BLR,2010,782.8201
BLR,2011,764.4587
BLR,2012,705.4381
BLR,2013,690.6236
BLR,2014,665.2582
BLR,2015,646.6246
BLR,2016,640.632
BLR,2017,627.803
BLR,2018,627.4138
BLR,2019,607.9959
BLZ,2000,611.4111
BLZ,2001,542.3778
BLZ,2002,518.0282
BLZ,2003,512.0267
BLZ,2004,521.975
BLZ,2005,495.3034
BLZ,2006,496.6666
BLZ,2007,481.6201
BLZ,2008,451.9705
BLZ,2009,468.8624
BLZ,2010,475.1176
BLZ,2011,462.1175
BLZ,2012,447.91
BLZ,2013,441.7907
BLZ,2014,449.9452
BLZ,2015,447.3774
BLZ,2016,438.4191
BLZ,2017,443.121
BLZ,2018,443.9902
BLZ,2019,451.3149
BOL,2000,636.3513
BOL,2001,623.4911
BOL,2002,615.0431
BOL,2003,605.8061
BOL,2004,596.4451
BOL,2005,590.9103
BOL,2006,581.1663
BOL,2007,583.621
BOL,2008,580.0457
BOL,2009,579.5967
BOL,2010,579.6725
BOL,2011,583.4326
BOL,2012,581.3883
BOL,2013,582.4991
BOL,2014,586.3703
BOL,2015,588.0346
BOL,2016,590.8728
BOL,2017,585.8143
BOL,2018,584.8765
BOL,2019,583.2935
BRA,2000,581.1645
BRA,2001,568.4389
BRA,2002,559.5046
BRA,2003,551.9268
BRA,2004,548.9987
BRA,2005,523.6438
BRA,2006,515.4907
BRA,2007,504.8168
BRA,2008,499.542
BRA,2009,492.2363
BRA,2010,491.71
BRA,2011,485.4801
BRA,2012,467.7005
BRA,2013,460.3439
BRA,2014,449.2286
BRA,2015,449.0585
BRA,2016,446.726
BRA,2017,432.9491
BRA,2018,431.8904
BRA,2019,424.4876
BRB,2000,498.2933
BRB,2001,486.1631
BRB,2002,489.4351
BRB,2003,496.963
BRB,2004,498.8527
BRB,2005,492.5709
BRB,2006,489.5128
BRB,2007,493.9864
BRB,2008,486.974
BRB,2009,470.4583
BRB,2010,463.3883
BRB,2011,459.9705
BRB,2012,451.0178
BRB,2013,458.4041
BRB,2014,458.9638
BRB,2015,453.8469
BRB,2016,458.7537
BRB,2017,456.8497
BRB,2018,462.158
BRB,2019,475.9204
BRN,2000,807.4352
BRN,2001,787.8315
BRN,2002,760.5889
BRN,2003,728.3979
BRN,2004,694.11
BRN,2005,669.4313
BRN,2006,653.8481
BRN,2007,637.9745
BRN,2008,624.0638
BRN,2009,611.8162
BRN,2010,603.066
BRN,2011,595.0107
BRN,2012,593.0737
BRN,2013,588.9985
BRN,2014,585.9934
BRN,2015,585.4906
BRN,2016,595.0623
BRN,2017,613.6557
BRN,2018,626.0892
BRN,2019,629.4689
BTN,2000,625.0448
BTN,2001,619.685
BTN,2002,609.7472
BTN,2003,606.0249
