country,iso3,year,region,gdppc,pm25_concentration,population,co2_emissions_pc,healthcare_expenditure,life_expectancy,urbanisation_rate
Mongolia,MNG,2009,Asia,1718.91402182752,5.23,2665331,4.887341,4.45980072,66.93,66.58
Morocco,MAR,2009,Africa,3118.1416015625,4.57,32030779,1.5878394,5.27312183,72.16,57.452
Mozambique,MOZ,2009,Africa,546.600732462517,8.07,22391752,0.10892431,5.20390034,53.33,31.328
Myanmar,MMR,2009,Asia,752.944035899187,21.66,48660458,0.20976587,2.16,63.99,28.695
Namibia,NAM,2009,Africa,4322.62926597991,9.2,2077400,1.2822412,9.04967022,59.5,40.601
Nepal,NPL,2009,Asia,475.63597612014,42.95,27173035,0.15196507,3.9,69.27,16.434
Netherlands,NLD,2009,Europe,52722.2130568997,12.65,16684147,10.2033415,9.99,80.54,86.288
New Zealand,NZL,2009,Oceania,28209.3623271229,1.56,4304304,8.04252,9.62076378,80.56,86.22
Nicaragua,NIC,2009,North America,1438.08682340939,3.3,5656605,0.7858231,7.68584394,76.56,56.721
Niger,NER,2009,Africa,458.421890235321,3.6,15943673,0.059721623,5.33850145,57.84,16.225
Nigeria,NGA,2009,Africa,1883.88778309689,13.88,162049465,0.495811,3.5801971,59.3,42.588
Norway,NOR,2009,Europe,80347.5700665184,4.79,4828624,8.922004,9.03,80.75,78.815
Oman,OMN,2009,Asia,17937.9795676859,9.32,2684665,16.492779,2.4694581,73.06,74.624
Pakistan,PAK,2009,Asia,985.349300762774,28.66,194376535,0.8001041,2.47458911,63.92,34.793
Panama,PAN,2009,North America,7618.43845900774,1.54,3564383,2.3736768,7.24006367,77.17,64.851
Papua New Guinea,PNG,2009,Oceania,1578.96862832112,1.07,7406442,0.71081686,2.32937527,64.63,13.037
Paraguay,PRY,2009,South America,3920.18607071017,7.12,5671245,0.7990309,5.52496862,74.79,58.937
Peru,PER,2009,South America,4164.97048299155,13.53,28896818,1.3673215,4.96515894,78.12,76.241
Philippines,PHL,2009,Asia,1893.28164063577,9.03,94384256,0.80426896,4.16,69.4,45.371
Poland,POL,2009,Europe,11525.9007370991,21.22,38002154,8.316444,6.59,75.64,61.004
Portugal,PRT,2009,Europe,23151.2154130712,6.72,10576264,5.4033084,10.13,79.41,59.964
Qatar,QAT,2009,Asia,60733.9817002272,24.03,1586052,41.02871,2.38356304,72.77,98.336
Republic of Congo,COG,2009,Africa,2283.94987239428,23.37,4281219,1.1547302,2.1422224,60.09,62.8
Romania,ROU,2009,Europe,8548.04859012993,13.59,20576923,4.2633147,5.28,73.44,53.698
Russia,RUS,2009,Europe,8562.82421875,13.49,143869130,10.739165,5.64,68.56,73.642
Rwanda,RWA,2009,Africa,564.976632424991,17.05,10060440,0.055490613,7.80694866,62.97,16.93
Saint Lucia,LCA,2009,North America,8259.32233799025,0.9,169880,2.501907,5.24410772,75.84,19.213
Saint Vincent and the Grenadines,VCT,2009,North America,6503.09777184322,0.61,110522,2.5195346,4.09299564,73.56,48.569
Samoa,WSM,2009,Oceania,3250.95309678248,0.1,191530,0.8799875,5.12732029,68.73,20.3
Sao Tome and Principe,STP,2009,Africa,1126.53858479155,8.57,177867,0.5149915,7.24220848,68.4,63.823
Saudi Arabia,SAU,2009,Asia,15064.6301357458,12.2,24217654,20.822813,4.29042768,73.9,81.867
Senegal,SEN,2009,Africa,1323.9712258938,2.81,12337391,0.4261572,3.841573,65.12,43.359
Serbia,SRB,2009,Europe,6169.11419477823,12.68,7425346,6.1808696,9.34623528,73.97,54.772
Seychelles,SYC,2009,Africa,9747.09180546291,0.43,93644,4.6952286,3.54135323,72.85,52.969
Sierra Leone,SLE,2009,Africa,386.433868490557,6.74,6055655,0.08289244,9.68422222,54.19,38.466
Singapore,SGP,2009,Asia,38926.8054365453,19.62,4968573,8.211614,3.39853096,81.58,100.0
Slovakia,SVK,2009,Europe,16597.2084581361,18.44,5385074,7.0193143,7.95,75.22,54.96
Slovenia,SVN,2009,Europe,24792.1279805504,12.81,2035611,7.960316,8.54,79.05,52.433
Solomon Islands,SLB,2009,Oceania,1526.15990773608,0.21,518150,0.6152041,6.60598898,64.16,19.589
South Africa,ZAF,2009,Africa,6444.18684044519,17.78,51728518,9.173338,7.64941454,55.27,61.687
South Korea,KOR,2009,Asia,19143.8516053025,25.64,48546689,11.078404,5.65905666,80.36,81.835
Spain,ESP,2009,Europe,32169.5028548583,6.91,46635182,6.3578906,9.10764122,81.33,78.21
Sri Lanka,LKA,2009,Asia,2053.76645085487,7.45,20756435,0.6236449,4.06,72.42,18.242
Sudan,SDN,2009,Africa,1223.90344238281,5.78,34569115,0.42827192,6.39496326,66.44,32.993
Suriname,SUR,2009,South America,7176.85765780579,0.84,543580,3.6622097,4.97810316,72.62,66.412
Swaziland,SWZ,2009,Africa,3270.1377612043,15.79,1105157,0.9581408,8.63292217,45.05,22.262
Sweden,SWE,2009,Europe,46946.9602719954,6.35,9298738,5.080081,8.77,81.15,84.902
Switzerland,CHE,2009,Europe,71568.3123885672,12.13,7737642,5.624884,10.1415062,81.89,73.581
Syria,SYR,2009,Asia,2479.0942337843,10.75,21976971,2.8651981,3.5464704,73.74,55.237
Tajikistan,TJK,2009,Asia,666.721344206247,23.28,7490233,0.3262881,5.86,69.35,26.518
Tanzania,TZA,2009,Africa,688.710388183594,8.69,43633977,0.13309541,5.06306362,61.04,27.439
Thailand,THA,2009,Asia,4154.18744707842,25.67,68121076,3.3592572,3.61939645,75.05,42.543
Afghanistan,AFG,2010,Asia,562.499221552971,11.93,28284088,0.2957424,8.56967163,59.0,23.737
Albania,ALB,2010,Europe,4094.34968570481,9.72,2928730,1.6334264,6.23667669,76.21,52.163
Algeria,DZA,2010,Africa,4958.2593791361,5.44,36188236,3.2704897,5.11716986,75.29,67.54
Angola,AGO,2010,Africa,3586.66369358621,15.7,23294821,0.9866279,2.69509959,57.96,59.783
Antigua and Barbuda,ATG,2010,North America,15149.7235026029,0.54,85337,6.440348,5.37907028,75.58,26.238
Argentina,ARG,2010,South America,10385.9644319555,6.82,41288694,4.503556,9.44546413,75.77,90.849
Armenia,ARM,2010,Asia,3143.0294799683,18.59,2931083,1.4509143,9.24,73.01,63.44
Australia,AUS,2010,Oceania,52147.0241942843,2.4,22141583,18.297293,8.42025661,81.91,85.182
Austria,AUT,2010,Europe,46903.7615854343,13.7,8365087,8.608196,10.22,80.39,57.399
Azerbaijan,AZE,2010,Asia,5843.5337683582,16.94,9146852,3.0118616,2.65,69.81,53.406
Bahamas,BHS,2010,North America,27046.6576651879,1.55,367482,6.0620985,5.25594234,72.75,82.427
Bahrain,BHR,2010,Asia,21186.8143292279,17.25,1213250,23.964918,4.08934975,73.86,88.634
Bangladesh,BGD,2010,Asia,776.835743954765,47.67,152201977,0.3550251,2.28807664,70.06,30.462
Barbados,BRB,2010,North America,16507.4305360907,0.54,275250,5.6782417,6.77094746,75.96,31.87
Belarus,BLR,2010,Europe,6034.67885177216,16.96,9490752,6.5795755,5.66,70.35,74.672
Belgium,BEL,2010,Europe,44184.946353964,15.48,10936620,10.468463,10.20229435,79.85,97.651
Belize,BLZ,2010,North America,5399.06209583265,2.97,320256,1.6818045,4.49519491,73.61,45.228
Benin,BEN,2010,Africa,1009.48949478478,14.34,9797488,0.4776112,3.00988984,61.3,43.093
Bhutan,BTN,2010,Asia,2371.97209032796,20.59,701639,1.2904984,3.55879498,71.73,34.793
Bolivia,BOL,2010,South America,1922.05857050664,14.47,10182345,1.4455193,5.20230532,70.43,66.43
Bosnia and Herzegovina,BIH,2010,Europe,4506.93235205533,11.64,3811480,5.5478983,9.02,76.98,45.558
Botswana,BWA,2010,Africa,6041.73205119653,17.73,2033110,2.2316918,6.26718187,57.63,62.412
Brazil,BRA,2010,South America,11249.2918904352,8.83,193701931,2.2729201,7.94516611,73.92,84.335
Brunei Darussalam,BRN,2010,Asia,34609.7119829323,7.97,392340,20.43478,2.27826095,76.97,74.961
Bulgaria,BGR,2010,Europe,6863.66706774052,13.09,7437594,6.4402747,7.1,73.67,72.302
Burkina Faso,BFA,2010,Africa,627.270395707064,5.08,16176504,0.122713536,5.23958349,58.61,24.633
Burundi,BDI,2010,Africa,222.660583208376,15.6,9376447,0.035168972,11.28196716,59.6,10.642
Cambodia,KHM,2010,Asia,782.695738595564,15.83,14500732,0.34920472,6.91169977,66.74,20.294
Cameroon,CMR,2010,Africa,1383.81386413817,15.58,19668064,0.42624032,3.57742167,56.78,51.559
Canada,CAN,2010,North America,47560.6666009406,6.58,34196901,16.22177,10.67611408,81.14,80.937
Cape Verde,CPV,2010,Africa,3500.97746776661,0.9,509794,1.0924569,4.47555733,74.23,61.821
Central African Republic,CAF,2010,Africa,459.776981833241,16.76,4493001,0.037512567,3.56699872,49.2,38.904
Chad,TCD,2010,Africa,896.876704620394,5.84,12312582,0.10038561,4.06023312,55.72,21.985
Chile,CHL,2010,South America,12764.5931178671,12.32,17181462,4.1525874,6.81958437,78.83,87.074
China,CHN,2010,Asia,4550.47394356715,44.12,1351561511,6.378234,4.23068333,74.65,49.226
Colombia,COL,2010,South America,6392.75802564031,9.71,44777325,1.7032385,7.07130146,75.96,77.964
Comoros,COM,2010,Africa,1384.06328257479,1.89,654845,0.24618955,4.99181557,65.97,27.973
Costa Rica,CRI,2010,North America,8147.24398493375,1.84,4555965,1.6445795,8.02937794,79.51,71.736
Cote d'Ivoire,CIV,2010,Africa,1654.17795949757,10.61,22488068,0.27680218,4.41577387,57.33,47.33
Croatia,HRV,2010,Europe,13697.4521970764,12.43,4301152,4.8792157,7.99,76.8,55.155
Cuba,CUB,2010,North America,5275.53260105122,2.92,11297413,2.9244213,10.6880827,77.83,76.597
Cyprus,CYP,2010,Asia,31105.02734375,7.39,1127825,7.1839247,6.5,81.18,67.551
Czech Republic,CZE,2010,Europe,19960.0684872157,21.51,10464035,11.226669,7.58647251,77.55,73.255
Dem. Rep. Congo,COD,2010,Africa,324.827726109271,20.86,68563037,0.03989632,3.72224283,57.4,40.013
Denmark,DNK,2010,Europe,58041.3984363385,8.86,5547866,8.864574,10.61,79.17,86.795
Djibouti,DJI,2010,Africa,1227.82085311429,6.92,930251,0.5553598,3.35966682,62.01,76.999
Dominican Republic,DOM,2010,North America,5509.56803417837,3.22,9820181,2.092981,4.92355442,73.8,73.753
Ecuador,ECU,2010,South America,4546.57877452911,10.96,15076695,2.4061246,6.22109413,75.15,62.69
Egypt,EGY,2010,Africa,2509.77203417522,7.63,89196070,2.2826967,4.15319157,69.83,43.019
El Salvador,SLV,2010,North America,3017.3073947577,7.14,6068252,1.0412601,8.90416241,74.56,65.452
Equatorial Guinea,GNQ,2010,Africa,14905.5145764646,15.65,1189096,5.384114,1.62134683,60.01,65.94
Eritrea,ERI,2010,Africa,504.972460176652,6.84,2945185,0.15891191,4.83844233,60.44,35.175
Estonia,EST,2010,Europe,14663.0446126465,9.75,1331450,14.243671,6.59433842,75.84,68.094
Ethiopia,ETH,2010,Africa,335.438495270931,11.97,90538520,0.070071824,5.46637249,63.25,17.319
Fiji,FJI,2010,Oceania,3469.14964254878,0.17,910426,1.1308817,3.41664124,67.31,52.171
Finland,FIN,2010,Europe,46505.3031791811,7.49,5363347,11.950002,9.14,79.87,83.77
France,FRA,2010,Europe,40676.0647913181,11.63,63417366,5.936185,11.22560215,81.22,78.369
Gabon,GAB,2010,Africa,8399.59734808121,17.57,1719883,3.393294,2.47556901,61.73,85.533
Gambia,GMB,2010,Africa,796.631829179134,3.75,1926635,0.22060432,4.11944056,62.36,55.662
Georgia,GEO,2010,Asia,3281.72930937343,15.46,3895933,1.5934676,9.07,71.82,55.535
Germany,DEU,2010,Europe,41572.4559481507,15.24,80830917,10.227274,11.09592915,80.18,76.966
Ghana,GHA,2010,Africa,1258.96419689048,14.35,25475001,0.35103092,4.22398996,61.97,50.713
Greece,GRC,2010,Europe,26716.6488260274,10.68,11124665,8.751199,9.59662342,80.24,76.292
Grenada,GRD,2010,North America,6760.97488416081,0.6,111601,2.2981875,5.4188118,71.08,35.865
Guatemala,GTM,2010,North America,2852.55759284808,8.0,14500117,0.7653512,6.1247797,71.07,48.403
Guinea,GIN,2010,Africa,667.281601897555,5.79,10396091,0.23895442,3.42782617,58.26,33.678
Guinea-Bissau,GNB,2010,Africa,599.859967945903,4.24,1566350,0.15204775,5.26704073,55.34,40.111
Guyana,GUY,2010,South America,4589.87249766592,1.22,749258,2.5184383,4.21897697,66.15,26.634
Haiti,HTI,2010,North America,1204.86206528423,4.07,9803299,0.21797019,4.54871035,39.96,47.509
Honduras,HND,2010,North America,1874.27170372599,6.04,8365882,0.95586073,8.72536373,70.83,51.885
Hungary,HUN,2010,Europe,13217.5045951108,18.73,9979129,5.2101455,7.45,74.56,68.911
Iceland,ISL,2010,Europe,43237.0729488958,1.24,318163,11.398572,8.36,81.68,93.574
India,IND,2010,Asia,1350.63447029137,43.17,1243481564,1.348904,3.27,67.48,30.93
Indonesia,IDN,2010,Asia,3094.44307866403,10.26,246305326,1.8099734,2.7908783,69.24,49.914
Iran,IRN,2010,Asia,6458.57395613765,12.42,77420852,7.252518,6.29153061,76.57,70.626
Iraq,IRQ,2010,Asia,4430.42624189518,14.9,31045365,3.6571085,3.23955345,71.07,69.103
Ireland,IRL,2010,Europe,48663.6004439251,4.4,4559083,9.166667,10.52404499,80.62,61.542
Israel,ISR,2010,Asia,31266.6053174383,7.42,7336737,9.30753,6.89,81.53,91.826
Italy,ITA,2010,Europe,36035.6449950691,12.13,60164212,7.2420187,8.92,81.9,68.327
Jamaica,JAM,2010,North America,4835.79108651148,2.14,2748573,2.793193,5.2951932,73.96,53.743
Japan,JPN,2010,Asia,44968.1562349739,10.92,128185273,9.476892,9.06,83.08,90.812
Jordan,JOR,2010,Asia,3914.70123105389,7.05,7297045,2.825161,8.17025661,76.69,86.088
Kazakhstan,KAZ,2010,Asia,9070.48825285747,10.01,16836809,14.777339,2.74,68.51,56.827
Kenya,KEN,2010,Africa,1093.63962367926,8.5,41598570,0.2923937,5.38849831,61.28,23.571
Kiribati,KIR,2010,Oceania,1528.89975749675,0.16,108717,0.5392349,9.34,61.36,47.39
Kuwait,KWT,2010,Asia,39212.4653757405,19.82,2943372,30.87387,2.67879915,80.49,100.0
Kyrgyzstan,KGZ,2010,Asia,880.038521818228,12.46,5491763,1.157307,6.95,69.19,35.306
Laos,LAO,2010,Asia,1127.83482203842,29.48,6334198,0.47433203,2.91155219,64.42,30.064
Latvia,LVA,2010,Europe,11420.9940032836,12.79,2097834,4.0777874,6.1,72.88,67.841
Lebanon,LBN,2010,Asia,7695.24541457279,8.41,5041290,3.9665632,7.43864489,77.97,87.334
Lesotho,LSO,2010,Africa,1104.8115468317,14.33,1996257,1.1398052,7.64088917,48.57,24.798
Liberia,LBR,2010,Africa,497.020365397034,6.59,4058897,0.17474402,10.35444641,60.36,47.813
Libya,LBY,2010,Africa,11611.3623534766,4.24,6497838,9.102708,3.28064442,74.11,78.052
Lithuania,LTU,2010,Europe,11987.508411647,15.98,3097719,4.465954,6.81,73.08,66.757
Luxembourg,LUX,2010,Europe,110885.991378721,12.56,507418,22.062008,6.66,81.18,88.547
Macedonia,MKD,2010,Europe,4833.36586759968,10.64,2051510,3.9899936,6.71,74.84,57.089
Madagascar,MDG,2010,Africa,459.375407996579,3.39,22183343,0.08438057,4.69762659,62.52,31.938
Malawi,MWI,2010,Africa,688.139191185368,11.21,14826466,0.06532224,5.14304781,56.87,15.544
Malaysia,MYS,2010,Asia,8880.14580454109,12.25,28655771,6.956578,3.16474271,74.03,70.912
Maldives,MDV,2010,Asia,7158.06141101431,2.46,360801,2.5895715,8.49,74.73,36.434
Mali,MLI,2010,Africa,688.327865858558,3.44,15945201,0.1309786,4.67865133,58.65,35.999
Malta,MLT,2010,Europe,21798.9142935915,4.73,422652,6.1969185,7.95,80.48,94.072
Mauritania,MRT,2010,Africa,1646.13042756814,1.59,3390967,0.6173814,2.63618922,68.45,46.588
Mauritius,MUS,2010,Africa,8000.37643182154,0.38,1282710,3.0506911,4.51898289,73.35,41.555
Mexico,MEX,2010,North America,9823.16407459477,12.84,113623897,4.0168395,5.73688889,74.95,77.815
Micronesia,FSM,2010,Oceania,2760.0113395546,0.11,107558,0.9538296,13.10624504,64.78,22.298
Moldova,MDA,2010,Europe,2436.79935102421,15.99,3631993,1.3300976,10.13,67.77,42.62
Mongolia,MNG,2010,Asia,2660.28817507398,5.22,2701738,5.097577,3.73945689,67.1,67.567
Morocco,MAR,2010,Africa,3067.85180664063,5.39,32467008,1.6744752,5.41861057,72.37,58.018
Mozambique,MOZ,2010,Africa,494.584022000439,8.53,22999235,0.114549376,5.43892908,53.33,31.83
Myanmar,MMR,2010,Asia,1003.03345506033,20.65,49024376,0.26765433,1.96,64.64,28.885
Namibia,NAM,2010,Africa,5445.42006302741,9.84,2109813,1.3198515,9.72781372,60.12,41.616
Nepal,NPL,2010,Asia,589.165434913038,40.35,27341955,0.17644328,4.36,69.47,16.768
Netherlands,NLD,2010,Europe,50999.7451168879,15.11,16771232,10.869137,10.16,80.69,87.134
New Zealand,NZL,2010,Oceania,33676.7741239925,1.59,4347767,8.005895,9.59277534,80.94,86.16
Nicaragua,NIC,2010,North America,1495.72918990272,3.17,5737451,0.778716,7.71019173,77.07,56.917
Niger,NER,2010,Africa,471.61268796898,4.04,16548832,0.07009444,4.96100473,58.29,16.221
Nigeria,NGA,2010,Africa,2280.11128904338,18.12,166642887,0.6872951,3.29653287,59.79,43.48
Norway,NOR,2010,Europe,88163.2085931423,3.9,4889160,9.331051,8.86,80.87,79.102
Oman,OMN,2010,Asia,22552.1990071233,9.51,2757451,18.55976,2.47588587,73.02,75.161
Pakistan,PAK,2010,Asia,1011.59718017727,32.97,199239047,0.7739536,2.39686537,64.15,34.997
Panama,PAN,2010,North America,8124.55830734871,1.38,3628537,2.5002084,7.4865942,76.99,65.14
Papua New Guinea,PNG,2010,Oceania,1879.24055902232,1.08,7633523,0.61763316,2.10756016,64.89,13.019
Paraguay,PRY,2010,South America,4725.72634101583,9.72,5737974,0.8751857,5.46593952,74.73,59.261
Peru,PER,2010,South America,5047.2046433225,16.37,29086021,1.4613583,4.71503925,78.21,76.43
Philippines,PHL,2010,Asia,2201.77682813479,8.24,96337126,0.85738814,4.13,69.69,45.332
Poland,POL,2010,Europe,12504.2501856093,26.28,38095356,8.773312,6.47,76.23,60.892
Portugal,PRT,2010,Europe,22520.6423124045,6.76,10578659,4.999665,10.03,79.74,60.567
Qatar,QAT,2010,Asia,73021.3097525035,19.83,1709240,42.955685,1.87017763,73.46,98.501
Republic of Congo,COG,2010,Africa,2962.76248130765,24.74,4462303,1.2325346,1.85172856,60.6,63.256
Romania,ROU,2010,Europe,8397.80917311457,16.39,20432576,4.1251655,5.64,73.7,53.829
Russia,RUS,2010,Europe,10674.990234375,15.04,143934468,11.343935,4.97,68.83,73.687
Rwanda,RWA,2010,Africa,594.115673355408,16.83,10317559,0.05630954,8.08696938,64.2,16.934
Saint Lucia,LCA,2010,North America,8672.21566785729,0.85,170920,2.8511117,5.05308437,76.01,18.45
Saint Vincent and the Grenadines,VCT,2010,North America,6590.98957888616,0.61,109976,1.9989816,4.30325222,73.48,48.961
Samoa,WSM,2010,Oceania,3494.39522455198,0.1,193035,0.94905066,5.15268326,70.49,20.078
Sao Tome and Principe,STP,2010,Africa,1043.28142666295,8.35,181811,0.5642783,6.86072636,68.82,64.952
Saudi Arabia,SAU,2010,Asia,17958.9444813361,11.17,25157135,22.099583,3.64786315,74.9,82.084
Senegal,SEN,2010,Africa,1286.60496647046,2.92,12635418,0.54310757,4.02764368,65.57,43.773
Serbia,SRB,2010,Europe,5735.42285659849,14.42,7395872,6.17864,9.5273037,74.27,54.993
Seychelles,SYC,2010,Africa,10934.79494629,0.53,94993,4.667123,4.50142097,73.12,53.336
Sierra Leone,SLE,2010,Africa,400.540743708337,5.82,6222715,0.08714396,9.12688351,54.97,38.856
Singapore,SGP,2010,Asia,47236.683084953,12.22,5077019,8.745289,3.20265388,81.76,100.0
Slovakia,SVK,2010,Europe,16908.8479564876,20.85,5391857,7.133364,7.67,75.45,54.685
Slovenia,SVN,2010,Europe,23532.4808545468,12.28,2044612,8.050296,8.57,79.55,52.658
Solomon Islands,SLB,2010,Oceania,1661.99788468931,0.21,532977,0.6187134,4.66139841,64.37,20.048
South Africa,ZAF,2010,Africa,8059.56279824609,19.0,52344045,8.845317,7.79358244,57.1,62.218
South Korea,KOR,2010,Asia,23079.2601257735,21.54,48769330,12.18674,5.81980991,80.54,81.936
Spain,ESP,2010,Europe,30532.4805081656,6.87,46840470,6.0404696,9.11891174,81.69,78.442
Sri Lanka,LKA,2010,Asia,2836.97410911231,6.95,20879090,0.6250745,3.74,74.14,18.226
Sudan,SDN,2010,Africa,1356.89465332031,5.66,35414403,0.4255264,5.05810165,66.94,33.089
Suriname,SUR,2010,South America,7999.50739437676,0.76,549932,4.3097258,4.6978569,72.8,66.344
Swaziland,SWZ,2010,Africa,4035.53448063299,17.16,1111650,0.8965124,8.5912571,46.39,22.48
Sweden,SWE,2010,Europe,52869.0442891587,6.53,9378234,5.6641645,8.32,81.3,85.056
Switzerland,CHE,2010,Europe,76531.3729407691,11.46,7825751,5.754605,9.93353558,82.2,73.607
Syria,SYR,2010,Asia,2748.32269383475,10.93,22482418,2.7453432,3.2764473,73.76,55.6
Tajikistan,TJK,2010,Asia,740.276134899351,25.01,7652144,0.33146462,5.74,69.92,26.52
Tanzania,TZA,2010,Africa,730.782348632813,8.8,44758489,0.16073172,5.22392178,61.68,28.114
Thailand,THA,2010,Asia,4996.37209760091,26.45,68579442,3.5144494,3.39009809,75.29,43.856
Afghanistan,AFG,2011,Asia,608.738850364613,11.97,29347709,0.40338126,8.56190777,59.55,23.948
Albania,ALB,2011,Europe,4437.14116097061,9.99,2911500,1.8254082,6.18297672,76.62,53.247
Algeria,DZA,2011,Africa,5974.57008682611,5.29,36903375,3.3897867,5.26748085,75.45,68.236
Angola,AGO,2011,Africa,4608.15516572683,16.21,24218358,0.9660866,2.64560771,58.75,60.528
Antigua and Barbuda,ATG,2011,North America,14774.0321811278,0.5,86349,6.322436,5.44257212,75.62,25.703
Argentina,ARG,2011,South America,12848.7391514568,7.51,41730655,4.54762,9.41819859,75.95,90.99
Armenia,ARM,2011,Asia,3462.68177840431,15.26,2923267,1.6997688,9.38,73.31,63.34
Australia,AUS,2011,Oceania,62609.6607161044,2.74,22479778,17.965395,8.53744984,81.93,85.3
Austria,AUT,2011,Europe,51442.2762464407,13.49,8393272,8.328273,10.03,80.74,57.115
Azerbaijan,AZE,2011,Asia,7189.81869211976,14.85,9256154,3.263754,2.6,70.39,53.637
Bahamas,BHS,2011,North America,26644.9265775896,1.61,371738,5.687145,5.32398558,72.75,82.476
Bahrain,BHR,2011,Asia,23741.5574626702,16.03,1206734,23.590656,3.8651762,74.2,88.695
Bangladesh,BGD,2011,Asia,856.178832752419,47.53,153591075,0.36195275,2.36418128,71.08,31.225
Barbados,BRB,2011,North America,16924.066921731,0.49,276149,5.8896937,6.89690495,76.02,31.7
Belarus,BLR,2011,Europe,6527.6593428786,13.72,9472737,6.472004,4.87,70.57,75.188
Belgium,BEL,2011,Europe,47410.5669277464,13.42,11038627,9.520928,10.36337948,80.17,97.698
Belize,BLZ,2011,North America,5519.3390084833,4.49,327307,1.6903518,4.54942894,73.85,45.228
Benin,BEN,2011,Africa,1099.4143107361,12.21,10093626,0.44381663,2.99707985,61.57,43.608
Bhutan,BTN,2011,Asia,2717.44994790904,18.69,709387,1.4617691,3.34921789,72.13,35.585
Bolivia,BOL,2011,South America,2304.98246161085,9.0,10348932,1.5410936,5.17306805,70.72,66.874
Bosnia and Herzegovina,BIH,2011,Europe,4980.90468838995,12.37,3741800,6.3502297,9.18,77.06,45.878
Botswana,BWA,2011,Africa,7080.77864262565,14.2,2073537,1.9429612,5.86915016,58.41,63.865
Brazil,BRA,2011,South America,13200.5562348789,8.24,195284736,2.3687463,7.78819132,74.02,84.631
Brunei Darussalam,BRN,2011,Asia,46139.1075759182,7.74,399395,23.924784,1.86409724,76.99,75.31
Bulgaria,BGR,2011,Europe,7857.16706984441,11.23,7380021,7.209333,7.1,74.07,72.638
Burkina Faso,BFA,2011,Africa,727.612474511645,5.47,16661907,0.12899202,4.64868164,59.07,25.196
Burundi,BDI,2011,Africa,236.451347486235,17.51,9717980,0.042604737,10.06996346,60.41,10.915
Cambodia,KHM,2011,Asia,880.310304428913,13.69,14722587,0.3582725,7.50353098,67.25,20.663
Cameroon,CMR,2011,Africa,1497.92658566017,13.14,20232312,0.4005975,3.85282946,57.26,52.164
Canada,CAN,2011,North America,52223.8588398531,6.57,34555450,16.301926,10.37950897,81.4,81.096
Cape Verde,CPV,2011,Africa,3880.06920520905,1.29,511453,1.2035358,4.30527449,74.33,62.322
Central African Republic,CAF,2011,Africa,515.209503489402,17.11,4565022,0.040933866,3.67561865,49.47,39.135
Chad,TCD,2011,Africa,988.194160047305,5.58,12755003,0.099799976,3.91046357,56.18,22.054
Chile,CHL,2011,South America,14637.7561550875,13.58,17351811,4.4993267,6.79947519,79.55,87.132
China,CHN,2011,Asia,5614.38602225277,41.63,1360250657,7.0077763,4.34274387,75.04,50.511
Colombia,COL,2011,South America,7392.94359822972,6.39,45259614,1.6841542,6.78076792,76.69,78.335
Comoros,COM,2011,Africa,1526.83263942681,1.96,668064,0.21389568,5.3021183,65.8,28.04
Costa Rica,CRI,2011,North America,9137.4551007756,1.9,4609834,1.5859172,8.12197781,80.26,72.868
Cote d'Ivoire,CIV,2011,Africa,1701.7046397995,12.63,22982002,0.28383818,4.39700699,57.55,47.751
Croatia,HRV,2011,Europe,14664.3690796915,12.88,4280827,4.816974,7.66,77.21,55.322
Cuba,CUB,2011,North America,6106.0067919258,3.16,11301577,2.5720613,11.31298637,78.53,76.689
Cyprus,CYP,2011,Asia,32485.802734375,6.59,1146492,6.7936635,6.43,81.39,67.406
Czech Republic,CZE,2011,Europe,21871.2660754128,17.84,10495508,10.975093,7.5580225,77.79,73.185
Dem. Rep. Congo,COD,2011,Africa,376.374981129973,21.59,70849311,0.042922717,3.19435549,57.89,40.544
Denmark,DNK,2011,Europe,61753.647131977,10.09,5570846,7.9389625,10.41,79.69,86.957
Djibouti,DJI,2011,Africa,1322.72625083956,8.34,948566,0.33218986,3.37655354,62.34,77.064
Dominican Republic,DOM,2011,North America,5859.381524313,2.87,9945622,2.143447,5.03797865,74.03,74.827
Ecuador,ECU,2011,South America,5183.62370033118,7.35,15326231,2.4966292,6.580935,75.58,62.851
Egypt,EGY,2011,Africa,2645.6225349104,6.21,91093068,2.381271,4.35707569,70.08,43.0
El Salvador,SLV,2011,North America,3304.97418347889,9.74,6090128,1.0672034,8.87645435,74.57,66.325
Equatorial Guinea,GNQ,2011,Africa,18659.4160247571,15.02,1241843,4.907646,1.42923808,59.83,67.488
Eritrea,ERI,2011,Africa,643.790042311239,6.84,2998493,0.1927028,5.16795397,60.91,35.771
Estonia,EST,2011,Europe,17487.8047830922,7.53,1327366,14.274907,6.0781703,76.29,67.965
Ethiopia,ETH,2011,Africa,348.001348291465,13.51,93149977,0.07954707,4.46897745,64.26,17.735
Fiji,FJI,2011,Oceania,4160.72119311815,0.12,912991,1.0233617,3.14293504,67.4,52.683
Finland,FIN,2011,Europe,51148.9316365833,6.82,5388236,10.513088,9.22,80.28,84.313
France,FRA,2011,Europe,43846.4660764798,11.5,63733777,5.560235,11.18497562,81.58,78.622
Gabon,GAB,2011,Africa,10273.798444898,16.36,1781986,3.270456,2.55771565,62.09,86.092
Gambia,GMB,2011,Africa,705.47749534881,3.73,1983784,0.22348401,4.36967373,62.85,56.384
