year,iso3,country,region,gdppc,pm25_concentration,population
2008,IRQ,Iraq,Asia,4504.50810924484,15.19,28971042
2008,IRL,Ireland,Europe,61353.1065629523,5.23,4485992
2008,IMN,Isle of Man,Europe,72304.9807352883,6.88,82046
2008,ISR,Israel,Asia,30173.3615938856,8.61,7082621
2008,ITA,Italy,Europe,40944.9124194678,11.95,59561686
2008,JAM,Jamaica,North America,5056.25803606977,2.09,2725632
2008,JPN,Japan,Asia,39876.3039685725,12.68,128155991
2008,JOR,Jordan,Asia,3416.12390126122,8.1,6989874
2008,KAZ,Kazakhstan,Asia,8458.01947450022,10.07,16426527
2008,KEN,Kenya,Africa,915.998915654065,8.09,39206349
2008,KIR,Kiribati,Oceania,1411.90543571667,0.19,104235
2008,KWT,Kuwait,Asia,55595.4843129592,21.42,2651433
2008,KGZ,Kyrgyzstan,Asia,966.393838565694,12.56,5342531
2008,LAO,Laos,Asia,887.639592455099,23.31,6148974
2008,LVA,Latvia,Europe,16467.1436879405,8.81,2177711
2008,LBN,Lebanon,Asia,5957.69675411548,9.94,4925360
2008,LSO,Lesotho,Africa,885.65930324266,11.41,1966547
2008,LBR,Liberia,Africa,456.144699881365,6.87,3821007
2008,LBY,Libya,Africa,13921.9037107842,4.09,6235433
2008,LIE,Liechtenstein,Europe,143540.573432591,9.76,35466
2008,LTU,Lithuania,Europe,14944.996652175,10.71,3198483
2008,LUX,Luxembourg,Europe,120422.137934157,10.12,488995
2008,MAC,Macao,Asia,39745.7618028691,37.75,535937
2008,MKD,Macedonia,Europe,5026.4202989873,10.6,2070840
2008,MDG,Madagascar,Africa,522.830621952534,2.75,20923841
2008,MWI,Malawi,Africa,557.519009408402,11.17,13976416
2008,MYS,Malaysia,Asia,8343.3033817446,13.07,27570054
2008,MDV,Maldives,Asia,6743.1309608974,2.2,336178
2008,MLI,Mali,Africa,676.127001144005,3.07,14940785
2008,MLT,Malta,Europe,22205.3567709304,4.22,418969
2008,MHL,Marshall Islands,Oceania,2716.81582429744,0.08,52049
2008,MRT,Mauritania,Africa,1610.2369793316,1.84,3183278
2008,MUS,Mauritius,Africa,8030.05228087539,0.3,1274634
2008,MEX,Mexico,North America,10589.9518729134,13.18,110374285
2008,FSM,Micronesia,Oceania,2420.7490064763,0.1,108947
2008,MDA,Moldova,Europe,2110.55305353857,10.74,3779501
2008,MCO,Monaco,Europe,204097.113958028,10.38,31861
2008,MNG,Mongolia,Asia,2134.94983195668,5.77,2634431
2008,MNE,Montenegro,Europe,7367.75190910882,8.2,632854
2008,MAR,Morocco,Africa,3180.17065429688,5.48,31606768
2008,MOZ,Mozambique,Africa,591.439837606183,8.88,21819035
2008,MMR,Myanmar,Asia,653.866000185961,19.55,48390791
2008,NAM,Namibia,Africa,4222.32618912577,9.29,2047059
2008,NRU,Nauru,Oceania,3671.02067076903,0.2,10032
2008,NPL,Nepal,Asia,466.693379122712,42.25,26990038
